gen segsites_m2 mean_pheno sd_pheno corr_phen_env
200 56 2.07687 2.22101 0.111308
400 53 -1.8353 2.50989 0.0733774
600 37 -0.585868 2.13201 0.0695813
800 45 0.272502 1.29584 0.0153978
1000 45 0.234156 1.61304 0.0753869
1200 51 -2.50285 3.13332 -0.226896
1400 49 -0.0730949 2.27324 0.146281
1600 50 -0.0720289 2.16715 0.0238381
1800 58 -1.1168 2.14626 -0.0250101
2000 45 -1.17824 1.85054 -0.00175759
2200 45 -0.597992 2.07789 0.0620249
2400 43 -0.985826 1.0644 0.0417182
2600 35 -1.03255 1.00337 0.0798063
2800 35 -1.02248 1.15259 -0.0771319
3000 42 -1.16665 1.19147 0.157568
3200 55 0.729738 2.15891 0.161122
3400 59 0.0846682 2.83295 -0.218873
3600 49 -0.985346 3.18063 0.0193726
3800 46 -0.420835 1.68485 0.0399198
4000 52 -1.31231 2.88655 -0.0803794
4200 35 -0.0326945 0.888599 0.545787
4400 46 -0.111026 0.77141 0.523316
4600 35 -0.213923 0.665909 0.508615
4800 45 -0.303196 0.832369 0.41516
5000 36 -0.293311 0.712858 0.37701
5200 38 -0.26567 0.701769 0.454736
5400 43 -0.412616 0.671815 0.523731
5600 35 -0.170405 0.669769 0.411625
5800 38 -0.314964 0.718577 0.511649
6000 38 -0.332074 0.659228 0.455399
