id x y phenotype1 envi 
0 0.839218 0.60228 0.623604 -0.187352 
1 0.0206051 0.554333 -0.103242 -0.501816 
2 0.986209 0.539598 0.125135 -0.753743 
3 0.0240275 0.210006 0.170928 -0.508296 
4 0.960162 0.136812 1.10251 -1.02262 
5 0.986255 0.668393 -0.588367 -1.33707 
6 0.0968095 0.182864 -0.544908 -0.541158 
7 0.938377 0.17056 0.300691 -1.02744 
8 0.0885228 0.984544 -0.51559 -0.402166 
9 0.293434 0.167838 -0.510263 -0.342523 
10 0.315344 0.586561 0.574155 0.218846 
11 0.297044 0.607378 -0.182428 0.0921105 
12 0.959643 0.0102351 1.14903 -0.619419 
13 0.0226797 0.546375 -0.186972 -0.483219 
14 0.960843 0.746317 -2.09812 -1.45803 
15 0.943546 0.151086 -0.540365 -0.998965 
16 0.486688 0.369557 -0.794929 1.08669 
17 0.0814552 0.195125 -0.455851 -0.520555 
18 0.804404 0.0258287 -0.968592 -0.57529 
19 0.963739 0.872914 -0.535038 -1.17738 
20 0.507162 0.0228208 -1.08684 0.487882 
21 0.539737 0.870501 0.135006 0.49954 
22 0.236798 0.00191807 -0.77473 -1.04526 
23 0.633145 0.0349237 0.639768 -0.0230736 
24 0.979126 0.454167 0.1406 -0.727238 
25 0.597461 0.745238 0.300691 0.576934 
26 0.978013 0.664657 -1.08684 -1.26057 
27 0.800937 0.0158062 -0.198156 -0.586598 
28 0.541904 0.871532 0.325769 0.496995 
29 0.802508 0.0791229 -0.394505 -0.505284 
30 0.967168 0.754848 -0.544908 -1.5178 
31 0.962511 0.728307 -0.553897 -1.40162 
32 0.00454296 0.767797 -0.789753 -0.892734 
33 0.948591 0.747637 -2.2299 -1.35107 
34 0.99243 0.50989 -0.794929 -0.641919 
35 0.205896 0.95831 -0.716588 0.0861655 
36 0.295726 0.169362 0.545158 -0.326002 
37 0.296366 0.907236 0.3595 0.200336 
38 0.309497 0.584804 1.3478 0.192613 
39 0.245389 0.742558 -1.58349 -0.328772 
40 0.537841 0.862531 0.676934 0.508094 
41 0.716612 0.697749 -0.892974 0.469917 
42 0.0332658 0.851025 0.795309 -0.75995 
43 0.751105 0.721007 0.0879693 0.432135 
44 0.238667 0.773776 -0.413132 -0.28756 
45 0.834778 0.566626 -0.845772 -0.125493 
46 0.957549 0.925829 0.373584 -1.00053 
47 0.83656 0.993131 0.464792 -0.22235 
48 0.977571 0.680005 -2.00906 -1.32377 
49 0.97672 0.00772661 -0.190365 -0.612981 
50 0.0251573 0.194029 -0.121346 -0.529587 
51 0.647318 0.0253658 0.0223559 -0.105623 
52 0.966221 0.213234 -1.38962 -1.30191 
53 0.846644 0.278019 -0.544908 -0.536721 
54 0.798923 0.239042 -0.696283 -0.274782 
55 0.939347 0.180321 -1.70628 -1.05733 
56 0.279086 0.198017 -0.533666 -0.336183 
57 0.483557 0.052407 0.647747 0.473174 
58 0.973707 0.675415 -1.70628 -1.27501 
59 0.0905518 0.985839 0.502198 -0.390902 
60 0.804933 0.244617 0.692399 -0.307971 
61 0.0804599 0.985133 -0.892974 -0.439475 
62 0.764806 0.0613121 -1.14892 -0.467586 
63 0.172408 0.982159 -0.752331 -0.0117279 
64 0.98199 0.444313 0.55983 -0.777309 
65 0.665153 0.871158 -0.615983 0.405167 
66 0.0227157 0.203029 -1.65708 -0.517904 
67 0.277378 0.193044 0.696975 -0.359059 
68 0.309182 0.598235 0.51698 0.167335 
69 0.642317 0.396438 0.106451 0.617904 
70 0.94168 0.162824 0.272513 -1.02243 
71 0.455118 0.372918 -0.553897 0.92497 
72 0.814346 0.59189 0.22318 -0.0378835 
73 0.0225846 0.198296 -0.690245 -0.524231 
74 0.824218 0.298242 -0.318748 -0.355905 
75 0.0221434 0.547125 -0.134878 -0.48561 
76 0.840333 0.608469 0.398321 -0.200881 
77 0.0172648 0.203909 -0.116774 -0.517797 
78 0.819275 0.995338 -0.495712 -0.135028 
79 0.0366479 0.842603 0.328868 -0.755012 
80 0.987647 0.551353 0.129679 -0.813567 
81 0.543382 0.869055 0.676934 0.498117 
82 0.0401515 0.562075 -1.10574 -0.478626 
83 0.796278 0.406322 -0.74538 -0.0443966 
84 0.824103 0.985133 -0.251108 -0.1614 
85 0.820056 0.989421 -0.794929 -0.139822 
86 0.25075 0.00742549 -1.49221 -1.04058 
87 0.0216514 0.208265 -0.162197 -0.511167 
88 0.979608 0.683695 -0.968592 -1.35536 
89 0.222504 0.0233958 -0.676685 -0.96943 
90 0.947151 0.861601 0.0959476 -1.08603 
91 0.989733 0.20406 -1.14993 -1.40428 
92 0.995045 0.523132 0.129679 -0.714093 
93 0.776014 0.0697636 -1.2807 -0.468355 
94 0.381742 0.27393 -0.290344 0.365743 
95 0.252814 0.909704 0.733241 0.143938 
96 0.257732 0.905044 -0.177101 0.137817 
97 0.091618 0.185255 0.272513 -0.537078 
98 0.960202 0.873041 -0.436992 -1.15195 
99 0.084777 0.987221 -0.314204 -0.416478 
100 0.0974126 0.18486 0.677754 -0.537432 
101 0.428084 0.872452 0.408192 0.38464 
102 0.346561 0.140897 -0.540365 -0.121721 
103 0.490293 0.0518782 0.114807 0.512225 
104 0.833837 0.598137 -0.540365 -0.15212 
105 0.0410956 0.988561 -1.37609 -0.622557 
106 0.983965 0.210594 -0.761198 -1.39684 
107 0.484187 0.170618 0.199106 0.694551 
108 0.647618 0.394977 0.135006 0.594114 
109 0.992876 0.461516 -0.770154 -0.75331 
110 0.269479 0.909232 -1.2807 0.166377 
111 0.2916 0.182417 0.476109 -0.312722 
112 0.297488 0.605465 0.476109 0.0974883 
113 0.970906 0.00423978 0.116179 -0.600297 
114 0.717251 0.742851 0.446824 0.487737 
115 0.757375 0.729511 0.935753 0.385243 
116 0.172817 0.975397 -0.426533 -0.0243216 
117 0.309627 0.101424 -0.615983 -0.430384 
118 0.947186 0.880876 -0.132864 -1.0413 
119 0.343441 0.134 0.182446 -0.156139 
120 0.283709 0.577544 0.310683 0.0743708 
121 0.538972 0.168535 0.572221 0.632557 
122 0.847609 0.280955 -1.08684 -0.537227 
123 0.488752 0.0564437 0.578698 0.511381 
124 0.0858481 0.99126 0.00689057 -0.4063 
125 0.265034 0.904259 -0.8682 0.146591 
126 0.825059 0.59867 -0.663153 -0.102613 
127 0.96504 0.00712313 -0.696883 -0.60994 
128 0.521545 0.852557 -0.27626 0.528989 
129 0.829875 0.986981 -0.540365 -0.190661 
130 0.62374 0.396278 0.0564396 0.6951 
131 0.946124 0.660591 -0.164683 -1.01538 
132 0.942192 0.150507 -0.946304 -0.991786 
133 0.639864 0.39937 -0.341175 0.631676 
134 0.987811 0.453948 -0.19596 -0.763403 
135 0.313246 0.547905 -0.55844 0.277636 
136 0.269279 0.917965 -0.892974 0.189124 
137 0.0306956 0.543112 -0.182428 -0.462173 
138 0.289323 0.17786 -0.337607 -0.337352 
139 0.787005 0.715962 0.357865 0.125193 
140 0.216832 0.465505 0.937686 -0.0938991 
141 0.243889 0.768977 0.327662 -0.287886 
142 0.0301232 0.550969 -1.14017 -0.477587 
143 0.95492 0.712979 -1.04156 -1.27727 
144 0.362717 0.285998 -0.394505 0.288833 
145 0.826099 0.609771 -0.369767 -0.117573 
146 0.232072 0.000767927 -0.892974 -1.04274 
