gen segsites_m2 mean_pheno sd_pheno corr_phen_env
200 40 2.46233 2.25836 -0.11747
400 42 1.80034 1.35479 0.0484141
600 32 0.21157 1.52632 0.205055
800 47 0.409879 2.48649 0.158294
1000 36 -0.0329158 1.34342 -0.0164305
1200 37 0.326493 1.64577 0.0712355
1400 47 1.16529 2.72826 0.110228
1600 51 3.0003 4.23177 0.203186
1800 49 5.24147 5.49414 0.0977941
2000 37 0.807373 1.33736 0.0210022
2200 37 -0.387014 1.50654 -0.0783137
2400 43 0.234015 1.35208 -0.0232452
2600 46 0.260395 1.37575 0.0649384
2800 41 0.156239 1.08584 0.0165547
3000 48 0.455256 0.923111 0.0100917
3200 53 0.469806 2.46835 -0.0818261
3400 49 0.406486 2.63273 0.203266
3600 54 0.928674 1.37208 0.0270663
3800 39 0.93207 1.24433 0.0419678
4000 51 0.577795 1.36381 -0.16005
4200 44 -0.162851 1.06146 0.10751
4400 55 1.24654 2.6317 -0.135716
4600 57 0.302087 2.40454 0.176088
4800 40 -0.884229 1.93058 -0.029156
5000 39 -1.56145 0.870458 0.0343976
5200 48 1.47433 3.2008 0.0370868
5400 51 2.1135 2.20951 0.060825
5600 58 1.01844 1.4758 0.0931556
5800 60 0.329752 1.78339 0.0146617
6000 35 1.58887 0.983994 -0.0521983
6200 54 0.79751 1.23327 0.13167
6400 69 -3.73019 2.94155 0.0420917
6600 52 -0.654284 1.78617 0.0809939
6800 51 0.00820845 0.842494 0.0321649
7000 62 0.164734 3.19944 0.0352394
7200 65 0.758674 2.71284 -0.0586932
7400 55 1.2181 2.62003 -0.0598096
7600 42 -1.51878 1.27368 0.0724492
7800 46 -1.41031 1.11867 0.0259213
8000 41 -1.53485 1.59934 -0.0335875
8200 57 -1.88694 1.4967 -0.0594037
8400 66 -1.68623 2.68292 -0.0168065
8600 64 2.51674 2.83114 0.0813878
8800 64 0.188662 1.87321 -0.069256
9000 61 -1.06672 1.18808 -0.119193
9200 54 -0.073717 1.38862 -0.206053
9400 64 2.90499 3.58073 -0.206564
9600 45 0.111392 2.44688 0.142707
9800 56 -1.2578 2.5346 0.00385553
10000 44 -1.29537 2.55191 -0.0958853
10200 48 -0.399955 1.19516 0.27599
10400 33 -0.116793 0.780807 0.373763
10600 43 -0.230608 0.862447 0.416854
10800 39 -0.0946926 0.783755 0.370839
11000 39 -0.207633 0.731784 0.36046
