"group" "id" "x" "y" "phenotype1" "envi" "group_env" "new_group"
"1" 1 0 0.588706 0.725148 1.38838 0.801627 0.8 34
"42" 2 1 0.492216 0.615122 0.270999 1.01279 1 37
"83" 3 2 0.480499 0.0121665 0.441671 1.72135 1.6 39
"125" 4 3 0.836102 0.246785 -0.75119 0.276433 0.3 23
"161" 5 4 0.0205438 0.329911 -0.993143 -0.42011 -0.4 12
"220" 6 5 0.940422 0.978825 0.0297621 -0.371062 -0.4 13
"240" 7 6 0.260112 0.00180926 0.327033 0.207024 0.2 21
"249" 8 7 0.567338 0.892591 -0.194166 0.361452 0.3 24
"282" 9 8 0.42692 0.406279 5.99738 0.723645 0.7 32
"340" 10 9 0.225273 0.973968 0.329133 0.217584 0.2 22
"352" 11 10 0.0208645 0.490972 0.203199 -0.365502 -0.3 15
"368" 12 11 0.763765 0.0259664 -0.0331943 0.240751 0.3 25
"406" 13 12 0.820487 0.450889 0.784742 0.2012 0.1 20
"58" 3 13 0.456626 0.0307338 1.16595 1.48363 1.6 39
"414" 13 14 0.810701 0.439304 -0.26874 0.253752 0.1 20
"419" 14 15 0.340317 0.238871 -0.922063 -0.203724 -0.2 17
"451" 15 16 0.342005 0.800767 0.186146 0.295152 0.3 26
"457" 16 17 0.264218 0.506941 0.15295 0.407147 0.4 30
"486" 17 18 0.0251155 0.0218021 -0.68085 -0.560867 -0.6 6
"472" 16 19 0.319748 0.499797 0.0129132 0.58122 0.4 30
"493" 18 20 0.0468222 0.757952 0.573795 -1.09558 -1.1 1
"66" 3 21 0.45664 0.0129677 1.57055 1.54951 1.6 39
"143" 5 22 0.00368964 0.320672 -0.75119 -0.411274 -0.4 12
"518" 19 23 0.0188301 0.153925 -0.0300256 -0.499692 -0.5 8
"25" 2 24 0.508052 0.607842 0.485284 1.02686 1 37
"551" 20 25 0.868429 0.793772 -0.248955 -0.35212 -0.3 16
"504" 18 26 0.048794 0.760947 0.650879 -1.07258 -1.1 1
"415" 13 27 0.854971 0.409602 0.0254368 0.0777773 0.1 20
"132" 4 28 0.831473 0.242541 -0.71542 0.284575 0.3 23
