unique position a_freq_old a_freq_final vcf_ord chrom for_relatedness keep_loci vcf_ord_final quasi_indep pca_ALL_PC1_loadings pca_ALL_PC2_loadings pca_ALL_PC3_loadings pca_PRUNED_PC1_loadings pca_PRUNED_PC2_loadings pcadapt_3.0.4_ALL_chisq pcadapt_3.0.4_ALL_log10p pcadapt_3.0.4_PRUNED_log10p OutFLANK_0.2_FST OutFLANK_0.2_He OutFLANK_0.2_ALL_log10p OutFLANK_0.2_PRUNED_log10p LFMM_ridge_0.0_ALL_log10p LFMM_lasso_0.0_ALL_log10p Spearmans_ALL_rho selCoef originGen type descrip fixed_since pa2 prop He seed simID RDAvegan_2.52_ALL_RDA1 RDAvegan_2.52_ALL_PC1 RDAvegan_2.52_ALL_PC2 RDAvegan_2.52_ALL_PC3 RDAvegan_2.52_PRUNED_RDA1 RDAvegan_2.52_PRUNED_PC1 RDAvegan_2.52_PRUNED_PC2 RDAvegan_2.52_PRUNED_PC3 sk-allel_v1.1.10_tajD sk-allel_v1.1.10_pi sk-allel_v1.1.10_thetaW sk-allel_v1.1.10_H12 sk-allel_v1.1.10_H2/H1 sk-allel_v1.1.10_ihs sk-allel_v1.1.10_nsl
100059_0.8575 100059 0.8575 0.857802874743327 3484 3 TRUE TRUE 1523 TRUE -0.000502598284657607 -0.000424710767548894 -0.0052085223009 0.00900874456974663 0.0053867360747011 0.80389240075436 0.0713298311167359 0.288731128832831 0.00109412750832699 0.243954205650823 0.0185281490062949 0.00930900409146087 0.356651142675392 0.411612791960095 0.0470486065118806 NA NA NA NA NA NA NA NA 11043 11043 -0.0309981563669123 0.00458589099576127 -0.0067816976980709 -0.0276407566777306 -0.0381536573584488 -0.0137315904305991 -0.0575177372020721 -0.0579859391203575 4.116445220856616 0.007164346655169764 0.002203770274488303 0.12274949508578269 0.7134154661884248 NA 1.774418101946014
100134_0.0695 100134 0.0695 0.0636550308008214 3487 3 FALSE TRUE 1524 TRUE -0.00129150203673774 -0.00437131413881794 0.00308504027202001 0.00618942642579749 0.0071564369260136 2.64629903253969 0.347337476695565 0.166726979885006 0.0091025191410955 0.119206135709136 0.132845002786355 0.0953132399051958 0.121618691360354 0.132693132349653 -0.0285945259186541 NA NA NA NA NA NA NA NA 11043 11043 0.0244454580499621 0.0104416682836745 -0.0339674324199578 0.000761199768917466 0.0300883581387485 -0.0526436243067891 -0.035487458194873 0.0270820225213858 4.116445220856616 0.006308150569841919 0.0019404022979237958 0.12274949508578269 0.7134154661884248 NA -0.0016367839660536905
100141_0.3955 100141 0.3955 0.398357289527721 3488 3 TRUE TRUE 1525 FALSE -0.00372059303889699 0.00287643788940707 0.00162176177623243 NA NA 2.48197600736306 0.320066117528298 0.14568863032403 0.00602358300204462 0.479337518815697 0.0726167804181029 0.0469994853812455 0.328100789776355 0.381179440208521 0.00917838173338725 NA NA NA NA NA NA NA NA 11043 11043 -0.000713205802682359 0.035209633400755 0.021470342824755 0.00873894761134182 NA NA NA NA 4.2970611522316915 0.00672640124020827 0.0020514472454824222 0.12124950984319197 0.7080158357111175 NA 1.098759756837247
100292_0.1480 100292 0.148 0.147330595482546 3493 3 FALSE TRUE 1526 FALSE -0.00163757037997156 0.00487436183200644 0.000876367076508527 NA NA 2.61694528132067 0.342440732248712 0.291881415779023 0.00940445601249233 0.251248582234609 0.135273931177237 0.097344213059228 0.278011168197606 0.337484646996354 -0.0174579703933956 NA NA NA NA NA NA NA NA 11043 11043 0.0146683414172183 0.0181223397979647 0.0401973974829892 -0.00100704933554325 NA NA NA NA 4.2970611522316915 0.006659582684841963 0.002031068630461074 0.12124950984319197 0.7080158357111175 NA -0.43309043618757953
10040_0.0700 10040 0.07 0.0713552361396304 314 1 FALSE TRUE 139 FALSE -0.00130581736686475 -0.00235628924009611 0.00140432246030946 NA NA 0.880588759268154 0.0808646261257771 0.00526689495947062 0.0047363103995287 0.132527332830176 0.0599545197152743 0.0375014908869923 0.204820325770273 0.241311550969981 -0.00831739379705136 NA NA NA NA NA NA NA NA 11043 11043 0.0109984678141742 0.0112950331201639 -0.0190526393433121 -0.00504366902159529 NA NA NA NA 4.187738801848201 0.006679085299732022 0.0021118028138941117 0.12074564972656626 0.7061561011359473 NA -0.3796595406765763
100408_0.1385 100408 0.1385 0.137577002053388 3497 3 FALSE TRUE 1527 FALSE -0.00120364125739164 0.00521503752378983 0.00183982449074389 NA NA 2.81378130384694 0.375474219940072 0.42426880084778 0.00852485876455095 0.23729914111878 0.121813542232539 0.0861574799901405 0.391205419732644 0.475247364499633 -0.0399320794882546 NA NA NA NA NA NA NA NA 11043 11043 0.0254125854734272 0.0145166444411193 0.042880641010089 0.000793518674046038 NA NA NA NA 4.153758214407641 0.005988919365087907 0.0019344527507991936 0.12070875620338237 0.706018996833861 NA -1.0104417603650218
100413_0.4440 100413 0.444 0.444558521560575 3498 3 FALSE TRUE 1528 TRUE -9.93525529379969e-05 0.00263670604806973 -0.00133436780169586 -0.00864760109953455 -0.00231548265049684 0.68897829762897 0.057598405262871 0.111400632075592 0.0118069262279071 0.493852484936901 0.268182044393777 0.214450497053777 0.041714641015327 0.054923300159772 0.0015048350560359 NA NA NA NA NA NA NA NA 11043 11043 -0.0011737452110439 0.00303919504775154 0.0172711554567226 -0.0174545353141002 -0.00144468826075381 0.0269732462910117 0.011082767906635 -0.0522097378158254 3.8351900012551687 0.005920853818741265 0.002044609087997481 0.12070875620338237 0.706018996833861 NA 1.0068760976684832
100424_0.0480 100424 0.048 0.0446611909650924 3499 3 FALSE TRUE 1529 FALSE NA NA NA NA NA NA NA 0.334741979273882 0.0146549999911277 0.0853331379733437 NA NA 0.0630251029070321 0.0796085008356196 0.0430243540324276 NA NA NA NA NA NA NA NA 11043 11043 -0.0201690774777957 -0.0137570574592102 -0.0422863169963759 -0.00533459447063161 NA NA NA NA 3.5526797546505917 0.00563052264789949 0.002066752868733916 0.11568965589937974 0.6860934363923645 NA -0.8552096217949247
100448_0.2575 100448 0.2575 0.259240246406571 3500 3 FALSE TRUE 1530 FALSE -0.000240986123659399 0.000914794434371134 -0.00409067392540375 NA NA 0.572540196887535 0.0444619119143976 0.205691789453372 0.0137145473676287 0.384069482099263 0.301557550315464 0.245189036770427 0.346583958891963 0.397223264064991 0.0409513613738155 NA NA NA NA NA NA NA NA 11043 11043 -0.0203248524616269 0.00253002295624276 0.00322974566387688 -0.0253476164955679 NA NA NA NA 3.5526797546505917 0.0055306906860573 0.00203010831432374 0.11568965589937974 0.6860934363923645 NA -0.4773606314780002
100512_0.0100 100512 0.01 0.0102669404517454 3505 3 FALSE TRUE 1531 TRUE NA NA NA NA NA NA NA 0.171715402597428 0.0190464998980637 0.0203230607710114 NA NA 0.273886799561079 0.313841116245063 0.026880863065356 NA NA NA NA NA NA NA NA 11043 11043 -0.00917204015618355 0.013813066408946 0.0100092529813364 -0.010092122210306 -0.0112892803447659 -0.0247834457487728 -0.00867500089012122 -0.0144488332785763 3.378381390824559 0.003977633100624403 0.0014706478954627236 0.12157733514919739 0.6998080601139388 NA -1.7979850406168203
