position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX	baypass_2.1_PRUNED_eBPis_env	baypass_2.1_PRUNED_eBPis_pheno	baypass_2.1_ALL_eBPis_env	baypass_2.1_ALL_eBPis_pheno
50	-1.43998024	-1.433025211	38.15678774	-1.544478703	-1.543652387	38.41394853	0.02834539	0.02483797	0.00897942	0.00671928
110	-1.285383098	-1.284372128	38.91583921	-1.308649324	-1.308506531	38.73183954	0.01783897	0.01878626	0.03227908	0.03254273
137	-1.220682354	-1.221001417	39.84291197	-1.228669861	-1.230952814	39.45702354	0.08447087	0.08743874	0.09857582	0.10053032
175	-0.573366706	-0.579418587	36.34279803	-0.963250436	-0.958698795	35.79416272	0.32472557	0.31926001	0.29355610	0.28855932
270	-1.877451868	-1.878475893	38.66764342	-1.766787485	-1.766300406	38.83045137	0.00670077	0.00960578	0.07434328	0.07723179
374	-1.711456264	-1.710624079	34.89442780	-1.594812753	-1.595848544	34.94834299	0.18534601	0.18567937	0.13862051	0.13869562
392	-1.351577766	-1.355714571	35.96039849	-1.385276325	-1.387112814	36.20758666	0.57553853	0.57530933	0.54038150	0.54026201
461	-1.116886103	-1.117299767	41.93239728	-1.1557955	-1.154869009	41.91972155	0.10241556	0.10007276	0.12307688	0.12187541
582	-1.144468664	-1.143685051	39.82737175	-1.176743242	-1.17404159	39.40665120	0.17308500	0.16923092	0.12709029	0.12411842
659	-1.737218887	-1.734950739	38.90487767	-1.78508538	-1.784158469	39.38572982	0.10123526	0.09878854	0.14992621	0.14858973
885	-1.210031391	-1.208115925	39.26002152	-1.241699348	-1.240653445	37.86753499	0.09327295	0.09007203	0.18041963	0.17744438
1012	-1.211648671	-1.213736707	36.87275564	-1.070343665	-1.077629035	37.70306842	0.19746255	0.20061467	0.17572857	0.17848233
1080	-0.875249731	-0.875895632	35.78623089	-1.027389885	-1.028221208	34.49177453	0.41928973	0.41873552	0.36420914	0.36478996
1087	-1.369505334	-1.368841136	36.14253303	-1.356661862	-1.357804921	34.55450069	0.09806418	0.10057953	0.01156960	0.01404622
1100	-1.167736205	-1.166703607	34.94708912	-1.099680569	-1.099972947	32.86384921	0.31890871	0.31860645	0.25132911	0.25071720
1172	-1.301847047	-1.302187628	36.28170717	-1.183142985	-1.18401495	37.00111098	0.45536228	0.45609879	0.41222927	0.41150831
1304	-1.553085682	-1.552523274	36.07924257	-1.526870181	-1.526351271	35.46923270	0.06504178	0.06380768	0.03000849	0.02863742
1307	-1.177820772	-1.17707726	40.90716759	-1.083536328	-1.082479266	39.94233004	0.03656170	0.03519997	0.03745420	0.03601457
1332	-1.356628047	-1.355869337	36.42770040	-1.332819644	-1.332100742	36.42665541	0.40262068	0.40255205	0.30942381	0.30800146
1353	-1.0049351	-1.008437577	42.90758569	-1.094768461	-1.096026672	41.71479909	0.12831516	0.13199757	0.10661445	0.11022237
1478	-1.615821952	-1.615271229	36.47579162	-1.633289184	-1.632513301	37.42227484	0.10578253	0.10470440	0.13283557	0.13129084
1483	-1.182674178	-1.182709773	33.81210616	-1.149185153	-1.147617697	33.57094462	0.09464240	0.09187269	0.07769472	0.07547199
1512	-0.497882786	-0.509723886	38.35654836	-1.330623457	-1.328680701	37.62823423	0.61399985	0.61037227	0.55286718	0.54944197
1527	-1.282743696	-1.283489983	36.91100737	-1.385350906	-1.387268022	34.90817503	0.27514936	0.27508136	0.32079345	0.32005678
1679	-1.312052733	-1.306333182	37.80082912	-1.183947064	-1.177269302	36.19150047	0.36480992	0.35771843	0.37419228	0.36645517
1692	-1.670140779	-1.671199228	39.25854292	-1.573890239	-1.575529044	38.12310436	0.25299943	0.25715192	0.13261229	0.13505356
