pos	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX
49	-12.61776652	-12.58380009	35.48785205	-12.11285046	-12.09415614	35.66091941
220	-11.34053333	-11.34193679	38.89868579	-11.25437008	-11.25591598	38.68616807
255	-16.61605147	-16.61741659	34.67446903	-15.66092450	-15.68445598	36.29188457
270	-11.42005962	-11.39477670	32.87111369	-10.47606899	-10.45505978	33.02735273
319	-11.10789587	-11.11337121	36.43570236	-11.01100966	-11.00909267	36.06570131
572	-10.81168921	-10.79757249	42.55443880	-10.57910486	-10.55739623	42.87801527
591	-12.01828550	-12.00590445	30.71576429	-10.67628740	-10.66508479	31.55632751
762	-15.16897211	-15.16529100	39.97056310	-14.57805838	-14.57106340	38.78920673
771	-11.33235074	-11.32530842	40.10463535	-11.76478592	-11.76319627	38.57479295
818	-15.92281621	-15.92860228	35.87445582	-16.22065771	-16.23145993	36.24211471
942	-10.80277700	-10.80986874	38.78509193	-10.29914018	-10.31291685	39.89939124
969	-17.79827843	-17.79974542	36.87180690	-16.85318065	-16.85883914	37.41713873
1053	-15.48725373	-15.47734471	40.13796733	-16.44592886	-16.44509222	39.70923001
1306	-11.50424823	-11.51111276	34.65906621	-9.74099849	-9.73837746	36.03805553
1389	-6.17523216	-6.22211248	32.90155533	-6.11840419	-6.14635667	32.39785778
1452	-9.27597091	-9.24988930	34.64322691	-8.19053758	-8.16739299	34.10118371
1616	-14.76244044	-14.73020575	38.89612410	-13.07872972	-13.02377388	39.01761447
1655	-10.20182005	-10.18529538	38.38974560	-9.09595102	-9.06428142	38.41600807
1731	-13.04861671	-13.05902893	32.92647906	-13.18894768	-13.19176199	34.18235428
1735	-11.74624325	-11.74571213	38.91393448	-11.11617232	-11.10649826	38.58053978
1749	-11.85098814	-11.85197254	42.13878134	-11.58992805	-11.59759836	44.05141026
1884	-11.97441843	-11.97383288	32.62689620	-11.29764323	-11.29128170	33.47039110
1939	-7.91718889	-8.03295976	38.07497216	-11.33084973	-11.33135037	37.26702826
1946	-10.16980534	-10.16902167	39.77255326	-8.11145991	-8.11590893	39.39607848
