position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX	baypass_2.1_PRUNED_eBPis_env	baypass_2.1_PRUNED_eBPis_pheno	baypass_2.1_ALL_eBPis_env	baypass_2.1_ALL_eBPis_pheno
40	-0.796991391	-0.787825569	38.73090408	-0.831266086	-0.827376585	37.85099744	0.63522252	0.63019467	0.40615173	0.40336451
61	-0.514226537	-0.507284592	40.28816517	-0.536830303	-0.529711417	38.47620422	0.93494561	0.93154938	0.90125125	0.89704442
163	-1.095239836	-1.097353665	42.52030208	-1.095567972	-1.097375969	40.59145434	0.33400696	0.33849272	0.31610537	0.31958846
229	-1.459566581	-1.460069262	37.48397256	-1.49430555	-1.494771224	36.39663920	0.08066933	0.07864387	0.03126376	0.02986196
237	-1.697082936	-1.696090949	39.19872631	-1.681342905	-1.682495447	38.95617514	0.24186492	0.24300394	0.11034986	0.11096161
289	-1.400676279	-1.402839364	38.65776732	-1.431730806	-1.432725123	38.24801471	0.27756830	0.28096293	0.36731135	0.37148113
392	-1.34094704	-1.341434746	41.90058827	-1.261112574	-1.26093116	42.70798412	0.54911912	0.55045761	0.57238198	0.57440133
532	-0.394901648	-0.398277141	40.57730044	-0.159171562	-0.1619647	39.43378144	1.55092648	1.55585496	1.12800838	1.13484919
571	-1.675372435	-1.675817598	34.76372335	-1.628778752	-1.628661986	34.06732247	0.02235786	0.02019759	0.00187891	0.00016167
575	-1.470789299	-1.473132881	41.09870681	-1.467886928	-1.469541627	39.46646327	0.09091332	0.09398938	0.19781472	0.20212174
599	-0.687976422	-0.68729641	38.82283687	-0.565627325	-0.563639194	37.93027036	1.00741817	1.01048837	0.83488294	0.83741861
619	-0.774952817	-0.774309488	38.78256727	-0.449469224	-0.447084544	37.91963087	0.90677002	0.90910048	0.77427126	0.77462976
724	-1.470342295	-1.470348136	41.64066387	-1.363408789	-1.364313777	43.26708429	0.28644017	0.28712992	0.48645427	0.48768404
750	-0.743293392	-0.746929215	34.77639026	-0.868454968	-0.869355682	34.97915635	0.66036184	0.66471332	0.79378514	0.79777724
1029	-1.015405174	-1.015002815	36.48159503	-0.930772661	-0.928809699	36.50529214	0.39354590	0.39193383	0.28057775	0.27913899
1074	-0.869575474	-0.867357861	33.52121582	-0.961697623	-0.96177003	33.51726718	0.39598592	0.39519233	0.42124977	0.42079496
1076	-0.765795711	-0.761106783	34.07295468	-0.954010939	-0.953045132	32.44442510	0.41961206	0.41947072	0.45870276	0.45894720
1119	-1.27070161	-1.26782263	39.63901941	-1.176880951	-1.172023923	40.61848790	0.39377378	0.38810641	0.31350809	0.30713878
1127	-1.505192747	-1.506918168	40.44507979	-1.460715955	-1.462338541	39.53706145	0.23856357	0.24072235	0.28905157	0.29327617
1188	-1.048379739	-1.048373806	43.03507760	-1.095130464	-1.095957402	43.44195769	0.30872706	0.30965248	0.23940256	0.24154688
