position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX	baypass_2.1_PRUNED_eBPis_env	baypass_2.1_PRUNED_eBPis_pheno	baypass_2.1_ALL_eBPis_env	baypass_2.1_ALL_eBPis_pheno
131	-1.298993517	-1.299369476	36.00444044	-1.35702423	-1.357180313	34.77723457	0.08092824	0.08176241	0.09396616	0.09529922
204	-1.320677122	-1.32367176	36.13179426	-1.325368578	-1.32631692	34.49026518	0.11707147	0.11907016	0.00229862	0.00463882
214	-1.235652334	-1.236018546	38.73484967	-1.243840196	-1.243967857	36.78158059	0.13505978	0.13538672	0.08678361	0.08682732
386	-1.247361068	-1.246766718	35.93444595	-1.2612033	-1.261247109	35.03800096	0.03236396	0.03196166	0.01046425	0.01040284
403	-1.263348277	-1.263543897	35.53352591	-1.286844984	-1.286911083	35.41263516	0.03327295	0.03269114	0.02577501	0.02503083
458	-1.176125622	-1.176571311	35.12841501	-1.175385027	-1.175786992	34.45615547	0.11373679	0.11494781	0.17720289	0.17760180
465	-1.127537925	-1.127659315	34.68567255	-1.185014209	-1.185266189	34.22887981	0.20682642	0.20781992	0.13832647	0.13858020
539	-1.285738283	-1.28472548	38.75950170	-1.326265437	-1.326412758	36.89108100	0.51150931	0.51103268	0.48192176	0.48172072
566	-1.582799699	-1.582365969	39.93505021	-1.563460997	-1.563158064	39.81107234	0.06098431	0.06011391	0.17501428	0.17379397
608	-1.589570843	-1.589988942	37.75025520	-1.47710221	-1.476283835	39.01638649	0.42462597	0.42547422	0.30257167	0.30345535
710	-1.406395603	-1.406109233	35.17158252	-1.343532569	-1.343603686	35.43374760	0.24413244	0.24431743	0.17995728	0.18004035
720	-1.315316761	-1.315237098	37.79764027	-1.242859745	-1.243601217	37.05699410	0.58204385	0.58385930	0.66457489	0.66609223
767	-0.903548602	-0.905512835	42.83159606	-0.648318199	-0.649376287	41.51320502	1.39084673	1.39476888	0.78328507	0.78492235
820	-1.44926874	-1.449198539	39.47275232	-1.405238896	-1.406163378	37.40149420	0.04169564	0.04354745	0.00898705	0.01133034
831	-1.170399683	-1.170678311	35.14225746	-1.086717891	-1.085338254	34.13162993	0.19830631	0.19752881	0.11479417	0.11428213
906	-1.11016578	-1.10998588	37.88552201	-1.063079654	-1.062928968	37.10718008	0.09047472	0.09066778	0.08090036	0.08075343
