position selCoef originGen type freq descrip fixed_since
103141 0.175141 10992 m2 0.0075 QTL NA
103197 0.644006 10988 m2 0.0005 QTL NA
111426 -0.11896 1397 m2 1 QTL NA
113214 -0.106132 8678 m2 1 QTL NA
114716 -0.185518 1530 m2 1 QTL NA
115461 0.0247745 10893 m2 0.078 QTL NA
118743 -0.0444469 10994 m2 0.0025 QTL NA
124445 0.430692 109 m2 1 QTL NA
131022 -0.335716 5897 m2 1 QTL NA
131429 0.183658 10999 m2 0.001 QTL NA
133323 1.88012 11000 m2 0.0005 QTL NA
136403 -0.636442 10997 m2 0.001 QTL NA
137967 0.475929 8324 m2 1 QTL NA
141948 -0.0710972 1419 m2 1 QTL NA
142105 -0.344543 10999 m2 0.0005 QTL NA
145733 0.916761 11000 m2 0.0005 QTL NA
148058 0.117197 1179 m2 1 QTL NA
148618 -0.45623 457 m2 1 QTL NA
151883 0.493923 6520 m2 1 QTL NA
152070 -0.0533295 10965 m2 0.029 QTL NA
155098 0.147242 10794 m2 0.089 QTL NA
157693 0.249373 10999 m2 0.0025 QTL NA
160699 -0.835728 9487 m2 0.163 QTL NA
162487 -0.118244 10276 m2 0.415 QTL NA
163794 0.523622 10053 m2 0.1995 QTL NA
163839 0.0980453 10706 m2 0.243 QTL NA
163881 0.196741 1922 m2 1 QTL NA
166523 -0.0854967 2502 m2 1 QTL NA
169654 0.35372 10997 m2 0.0005 QTL NA
170989 -0.551799 10022 m2 0.636 QTL NA
173365 0.220833 10737 m2 0.155 QTL NA
173967 -0.0980978 10998 m2 0.0005 QTL NA
174140 -1.1223 11000 m2 0.0005 QTL NA
177742 -0.911348 11000 m2 0.0005 QTL NA
179973 0.754949 10997 m2 0.0005 QTL NA
184204 -0.131776 8105 m2 0.787 QTL NA
187860 -0.678808 10995 m2 0.002 QTL NA
189676 0.300317 10992 m2 0.003 QTL NA
193050 0.202729 10880 m2 0.014 QTL NA
275000 0.5 10944 m3 0.6895 partial_sweep NA
225000 0.5 10700 m4 1 full_sweep 67
320000 -0.05 2539 m5 0.4315 Inversion NA

