position baypass_2.1_ALL_BF_env baypass_2.1_ALL_XTX baypass_2.1_PRUNED_BF_env baypass_2.1_PRUNED_XTX baypass_2.1_PRUNED_eBPis_env baypass_2.1_ALL_eBPis_env
6 -0.959004659 36.70162049 -0.962776379 35.55890711 0.45225837 0.48265752
34 -0.977992092 37.77124515 -0.970039103 36.81198338 0.42354061 0.34187308
36 -1.090513692 35.12282143 -1.047314309 34.96478868 0.19099298 0.10130489
166 -0.93276533 35.26853762 -1.1287186 34.88455430 0.07811362 0.12334843
200 -0.972568358 36.31740061 -1.102018972 34.76943065 0.01700614 0.12080396
327 -1.134088053 36.45996814 -1.095752663 35.31934981 0.07812767 0.00321850
447 -1.000105701 35.37677129 -0.879110586 35.89382353 0.38059817 0.18671655
509 -1.237054967 33.24563149 -1.264947662 33.62227539 0.06127582 0.13480357
559 -1.137536195 36.72628136 -1.140077718 36.10952312 0.03245588 0.07573590
560 -1.206991475 33.46167424 -1.249485802 33.01916757 0.06104990 0.14156272
575 -1.1663651 35.76231156 -1.086238815 35.03227144 0.15169174 0.09091806
655 -1.46004046 41.91379233 -1.352635804 42.40934683 0.15560456 0.05694010
878 -1.202876765 39.59680417 -1.201224949 39.86910907 0.05431033 0.02415725
925 -1.040892592 38.22537502 -0.850730867 37.63767097 0.60964139 0.57236094
955 -1.532085186 39.88905689 -1.630816704 39.87441355 0.23188883 0.14365224
960 -1.46764402 36.12900140 -1.283282739 36.13277097 0.32573068 0.24370056
1018 -0.971153872 34.50352717 -0.702620621 33.55131026 0.99103159 0.76940581
1126 -0.947877948 37.18963636 -0.511036303 37.10355533 0.65957080 0.61972449
1241 -1.282631097 46.53820178 -1.290920405 46.98607878 0.52488315 0.41310529
1262 -1.519984287 37.18205349 -1.472870547 36.21700126 0.00879827 0.03328683
1276 -1.088973314 35.48140876 -1.169762397 35.83505611 0.21573355 0.25119425
1323 -1.424104342 38.15317429 -1.359968249 37.80738615 0.06157071 0.00688565
1350 -0.834657099 40.21422882 -0.895566027 39.03023983 0.30605527 0.43712647
1472 -0.84339113 47.29776671 -0.524629808 47.21804432 0.99406045 0.71348009
1481 -1.551319287 39.08738248 -1.372212882 38.88522451 0.21826558 0.32933662
1502 -1.631244849 38.28947404 -1.580338535 38.72586461 0.17092204 0.10525031
1515 -1.060921563 38.27238195 -1.017941234 37.15204551 0.29195350 0.25498256
1537 -0.898846232 39.68541979 -1.035352915 36.63584460 0.20963850 0.29849636
1583 -0.447105246 35.20554819 -0.086759256 34.33477852 1.14819272 1.07766002
1673 -0.286129652 35.17433607 -0.10487807 34.00473544 1.23797606 1.01384481
1674 -1.284762035 40.69153582 -1.169911273 38.79717265 0.14894634 0.03601802
1695 -0.529756531 33.14479959 -0.408951228 33.50527687 1.04890451 1.05224575
1842 -1.232988589 36.98785891 -1.22536854 35.39882708 0.29318847 0.21745480
1912 -1.042335721 36.64488166 -0.844594748 36.82662068 0.62190004 0.55669012
1974 -1.240769366 41.14479864 -1.138801471 41.03487916 0.27462120 0.14356637
1985 -1.149593909 41.20718939 -1.209663991 41.55958543 0.24745465 0.21685175
2009 -0.366753693 36.15557239 -0.509328516 35.26086215 1.24048285 0.94705975
2036 -1.173523331 37.81880129 -1.147014295 37.39057335 0.07870996 0.14161129
2237 -1.32120507 36.44002709 -1.290844055 35.94181803 0.44492139 0.35670138
2251 -1.193288825 36.89792611 -1.183904011 36.39781812 0.08684294 0.12751319
2254 -1.19814214 36.88217621 -1.249389563 37.33142880 0.28641185 0.34690674
2262 -1.161664139 41.42592851 -1.062058452 40.67667823 0.17634110 0.04882019
2280 -1.135280642 40.43892280 -1.156034788 40.84414589 0.08748293 0.12045902
2408 -1.214653235 39.59092635 -1.448468479 37.57543705 0.24932458 0.31679951
2438 -1.290312089 34.33599799 -1.257273961 34.76579431 0.14860133 0.08863871
2460 -1.150872793 43.12097590 -1.042429797 41.53549757 0.47273244 0.54517758
2471 -1.522571673 42.83804895 -1.493967209 40.43869373 0.37994494 0.26514973
2591 0.054800172 43.46731293 -0.711605581 42.61530828 0.94407301 0.75741788
2675 -1.728608245 37.06457263 -1.765258254 36.65040162 0.09012055 0.11159476
2688 0.370640547 37.88748004 -0.132951392 36.34938032 1.31780647 1.01363080
2694 -0.125142777 36.79938004 -0.097596225 35.68598843 1.45170016 1.24129759
2698 -1.15820301 39.19454127 -1.081656474 37.48407552 0.38827112 0.37868183
2834 -0.912911026 37.36382303 -0.963737837 36.65064239 0.97046408 0.74035760
3037 -1.536378318 38.46007544 -1.47825921 40.21717462 0.35300576 0.34730697
3202 -1.175532937 35.64141909 -1.145162289 35.70532960 0.14823823 0.20505641
3204 -1.78276987 37.38125984 -1.710445033 36.78002045 0.15548132 0.11341067
3434 -1.677919398 38.18417834 -1.355313101 37.87008383 0.01154667 0.03116718
3475 -0.885715127 32.39769249 -1.026094998 32.06465079 0.49234288 0.35361079
3539 -1.154244162 38.59830736 -1.121803548 37.30333259 0.16441145 0.15460935
3588 -0.870249346 37.65844881 -0.659527146 37.03232504 1.21533040 0.81297328
3641 -1.655514793 39.49912054 -1.647681959 38.89916012 0.04740857 0.00008169
3667 -1.687816703 39.12151978 -1.643266298 39.41061976 0.00806565 0.02709014
3713 -1.031388525 34.32144506 -1.089499702 34.96166242 0.47736114 0.34771975
3735 -1.529514451 35.05841546 -1.486804868 36.19182568 0.09785798 0.08459070
3922 -0.931590747 39.45123879 -0.961137301 37.07443211 0.74216287 0.47103024
4156 -1.577407298 33.35123890 -1.56421443 32.23172286 0.05609083 0.12003328
4198 -0.75975664 37.74085691 -0.849200561 36.51505151 0.65483376 0.64971304
4350 -0.962411601 34.75410281 -0.915704265 33.43969689 0.27693960 0.19396053
4386 -1.262402128 37.64051855 -1.22879731 37.36860732 0.24546986 0.11974366
4422 -1.590260235 38.57756274 -1.51411418 39.29864061 0.31926436 0.19645333
4439 -0.935313933 36.52485870 -0.839846808 34.67008766 0.67672837 0.61625335
4484 -0.633354638 38.42303283 -0.726476023 37.11341826 0.92562989 0.77088151
4533 -0.613494828 37.16653489 -0.513589151 36.90194059 0.86619990 0.76728924
4693 -1.613224398 39.34845401 -1.554372778 39.45926891 0.04991474 0.03339128
4713 -1.454222153 38.65938215 -1.410622409 38.89640205 0.19888792 0.13440205
4842 -1.416680928 35.53167219 -1.392553208 35.10416130 0.20585037 0.20149586
