position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX
15	0.15025856	0.15030934	35.60812253	0.12469668	0.12471991	34.18972339
18	0.12874336	0.12879100	38.73001376	0.12481124	0.12483612	38.64633027
67	0.12399099	0.12405371	36.15940426	0.12799651	0.12809997	37.33815789
71	0.12487064	0.12485700	41.69444234	0.12446652	0.12447932	40.78766610
183	0.12404955	0.12403145	40.03242377	0.13685280	0.13685465	38.70372264
219	0.15103110	0.15101564	33.36644015	0.15101705	0.15100165	32.22059712
238	0.13547274	0.13546692	41.16325175	0.13347303	0.13355816	39.86853102
294	0.14626664	0.14632771	37.76809730	0.13237996	0.13241070	38.19865172
343	0.12403277	0.12409017	43.22275465	0.12714089	0.12717316	41.10580980
385	0.14573350	0.14574571	34.62901578	0.13691706	0.13693486	34.44229523
618	0.13247550	0.13249709	35.60458292	0.13407445	0.13411317	35.62670511
701	0.12502867	0.12499237	38.24118187	0.12804928	0.12805766	38.00848151
939	0.13597002	0.13593162	38.75864950	0.13332728	0.13336745	37.88584071
975	0.13724304	0.13727899	37.11193862	0.13396161	0.13399075	36.55383613
995	0.13977577	0.13984978	38.51783350	0.12827171	0.12834486	36.97747255
1006	0.13773122	0.13778107	39.12307100	0.12949010	0.12948093	38.19229790
1014	0.12869741	0.12872898	38.67038819	0.12528011	0.12532283	37.96387685
1128	0.14135766	0.14139157	37.56502182	0.12539840	0.12546625	37.93173118
1183	0.13636264	0.13640646	38.02639686	0.12580517	0.12582136	37.99188453
1214	0.12191311	0.12188994	39.77275515	0.14170253	0.14170614	39.44751988
1240	0.13959070	0.13963659	35.11874126	0.13328619	0.13332458	34.72426060
1241	0.13021052	0.13021181	40.16169471	0.12955900	0.12963786	39.24323352
1263	0.13744013	0.13748690	36.35325080	0.13136497	0.13135683	35.93130253
1589	0.14177570	0.14190435	36.18690673	0.12789144	0.12800334	35.96521446
1619	0.12760590	0.12768902	40.35156631	0.13162851	0.13175422	39.34517318
1641	0.13676587	0.13675569	38.76761090	0.12550249	0.12541710	40.33308594
1760	0.13529423	0.13532076	34.41840642	0.13465684	0.13475589	35.12002844
1984	0.14453552	0.14454412	40.22461071	0.12682497	0.12686451	38.58816389
2118	0.14855844	0.14861255	36.63369962	0.13941575	0.13941424	35.80313547
2175	0.14551623	0.14558743	41.79948321	0.12825685	0.12828349	40.16662387
2340	0.13152025	0.13148751	40.04472158	0.11175917	0.11174202	39.31922246
2351	0.13504188	0.13500604	36.06683826	0.13195465	0.13199223	36.38296439
2421	0.14484416	0.14487458	37.82886039	0.13638796	0.13639183	38.74730632
2528	0.13577073	0.13575984	39.35909608	0.12455802	0.12462411	39.17119529
2538	0.13711124	0.13715536	38.87772461	0.13247005	0.13255952	38.11782800
2546	0.13478755	0.13474635	36.64282258	0.12156378	0.12161139	37.20218637
2792	0.14612677	0.14605379	37.99954906	0.13818666	0.13828009	38.07429504
2867	0.12403804	0.12406605	44.26066782	0.11093219	0.11099816	43.22060875
2932	0.12809843	0.12804352	41.55922299	0.12581387	0.12581954	41.39957417
3144	0.13498050	0.13503551	37.84384031	0.14836236	0.14843289	38.10214696
3177	0.12654398	0.12654477	41.13259327	0.12963562	0.12965881	41.37047212
3226	0.12726074	0.12729505	41.19587002	0.13058997	0.13066356	41.36586781
3476	0.12799082	0.12804230	43.13745945	0.12317429	0.12320981	41.63716418
3506	0.13349315	0.13348704	33.51744986	0.13463062	0.13460297	33.10874266
3739	0.12695676	0.12699294	42.03282393	0.11395129	0.11396539	41.13834086
3803	0.13662390	0.13656217	38.93756867	0.13372947	0.13375344	36.82911242
3922	0.13556131	0.13554888	38.37068071	0.12528203	0.12521066	38.75455145
3930	0.13980643	0.13983906	40.27225650	0.12087226	0.12086780	39.35167942
4022	0.12237498	0.12243039	35.09824682	0.12010417	0.12009992	35.72064305
4068	0.13251520	0.13249311	36.71231812	0.12900318	0.12899555	36.75582939
4138	0.11607890	0.11610541	43.80488697	0.10294312	0.10295712	42.59885844
4285	0.13408566	0.13416789	39.89349437	0.12543187	0.12535892	40.04196068
4294	0.13197217	0.13199384	36.36454106	0.13526107	0.13527266	35.63806704
4299	0.14100737	0.14102074	37.51337268	0.12110326	0.12115912	37.24810115
4317	0.14587334	0.14595534	35.75457018	0.12840829	0.12853297	36.64687348
4337	0.14200694	0.14209865	37.42932754	0.12498945	0.12497651	36.85283326
4460	0.14485834	0.14489398	37.50840751	0.13932199	0.13930587	37.42093692
4486	0.13140075	0.13145667	40.03413764	0.12241199	0.12235602	39.52730334
4523	0.13044408	0.13056622	37.41620726	0.12159354	0.12166028	36.82382268
4541	0.13192873	0.13193325	42.55592666	0.11683387	0.11687751	42.16010312
4612	0.13400335	0.13402464	39.03015194	0.14147209	0.14151882	38.36243695
4727	0.14074349	0.14082260	37.37504450	0.14420641	0.14422342	36.17623825
4817	0.12871596	0.12878141	44.79353454	0.11507980	0.11516417	45.19691583
4826	0.12552158	0.12558194	45.54223666	0.11026630	0.11028498	44.21042263
4956	0.13202328	0.13205989	35.87184405	0.13436257	0.13437241	35.67867225
5009	0.14095190	0.14099235	38.18563212	0.12703861	0.12717634	38.26174400
5107	0.11462436	0.11468057	51.50682497	0.10760299	0.10762097	50.57026027
5137	0.13928229	0.13929006	36.37543452	0.13043299	0.13047822	34.50649149
5146	0.15073550	0.15079532	38.03112483	0.13528983	0.13535975	38.23999308
5241	0.13175061	0.13180154	42.34044340	0.11526033	0.11525119	41.27953569
5290	0.13568664	0.13572128	38.11640021	0.14232305	0.14230602	37.10371219
5361	0.12912383	0.12916856	39.84998328	0.12667279	0.12671794	39.58161019
5561	0.15358997	0.15364576	34.72143890	0.12583307	0.12584166	34.47223647
5779	0.13483308	0.13490258	40.23159989	0.14056750	0.14062264	39.39292112
5856	0.12124318	0.12123960	41.72313697	0.13224820	0.13228187	39.23303736
5978	0.13185907	0.13182837	39.55107838	0.13360079	0.13359959	38.81387268
6024	0.14036672	0.14040630	35.74577161	0.13625780	0.13630938	34.99349708
6077	0.13953632	0.13957647	35.55175136	0.13999226	0.14007697	33.95445823
6115	0.13561646	0.13563464	39.03622768	0.12722372	0.12730236	36.90948054
6246	0.14038485	0.14038568	39.16053567	0.11970600	0.11976610	37.90801163
6250	0.12900905	0.12901225	39.27443871	0.13041619	0.13047606	37.56593362
6253	0.14618840	0.14631339	38.63043277	0.12223086	0.12223909	38.04134559
6261	0.13392174	0.13401558	37.72608065	0.13660188	0.13663149	36.67703000
6285	0.13640377	0.13651053	43.80473569	0.12380122	0.12391584	42.71686588
6290	0.12994502	0.13001986	39.70106558	0.11856346	0.11856687	38.50623747
6456	0.15522656	0.15525514	34.57451849	0.14369615	0.14370008	35.32834260
6686	0.13157343	0.13162896	41.21715096	0.11272648	0.11278530	39.24625063
6833	0.12132263	0.12137233	46.56583355	0.10868554	0.10873702	46.25574996
7106	0.13316512	0.13322546	37.46464606	0.12853065	0.12856649	37.45504372
7284	0.13666510	0.13670921	37.12294302	0.12944920	0.12946247	36.53545909
7286	0.13484944	0.13488470	37.67009303	0.14196511	0.14203960	37.69617465
7332	0.14745363	0.14740201	36.24404027	0.13123487	0.13125561	36.01187895
7368	0.13854122	0.13858768	38.54334786	0.12365943	0.12370117	37.00317800
7377	0.15017864	0.15017884	36.85266616	0.13447962	0.13455993	36.72663598
7397	0.13766703	0.13774810	38.24242201	0.12858707	0.12860061	38.16181160
7398	0.14718647	0.14726839	35.88220894	0.14237697	0.14240653	35.18595071
7456	0.13776712	0.13784454	33.97488300	0.13650556	0.13654096	33.03212219
7458	0.13644197	0.13648391	38.43028826	0.13940034	0.13937024	38.01385161
7560	0.13896201	0.13901930	42.26003436	0.11889371	0.11893733	42.05165757
7670	0.13705786	0.13714147	35.03938327	0.11742471	0.11753247	35.28548963
7822	0.12840158	0.12839073	40.95415910	0.13792542	0.13793487	39.22870440
8119	0.13335969	0.13338257	38.55398268	0.12931367	0.12935435	36.49437679
8132	0.13867558	0.13871709	34.79145129	0.12695998	0.12698597	34.31228906
8167	0.13549732	0.13554366	38.16408127	0.12278443	0.12271143	37.55980974
8241	0.13442078	0.13448980	39.06332176	0.12140684	0.12135280	39.43009751
8278	0.13785816	0.13789721	36.55870512	0.12906257	0.12910815	35.59289372
8510	0.14322675	0.14325645	34.36459016	0.12741506	0.12744657	34.38208499
8584	0.13289163	0.13290123	34.66978377	0.14086573	0.14094664	34.18048335
8718	0.13837567	0.13842401	34.22038407	0.12754620	0.12761908	33.32992325
8878	0.13389296	0.13395977	41.25931297	0.13211460	0.13218068	40.64422017
9038	0.13433955	0.13434427	40.91683785	0.12207251	0.12210233	41.38006597
9042	0.12621555	0.12626885	39.65276470	0.12795096	0.12799063	39.90250306
9166	0.13372255	0.13371542	39.20940361	0.12457331	0.12461791	37.99375529
9196	0.13279851	0.13282390	43.55273698	0.11683716	0.11684283	43.04948214
9211	0.13404410	0.13408982	36.91004451	0.12448425	0.12461108	34.99446311
9212	0.12528721	0.12530192	39.18177579	0.12273068	0.12280626	37.18209049
9236	0.12857346	0.12869671	37.38341474	0.13480662	0.13484980	37.05154203
9269	0.14998356	0.15004027	38.38614165	0.12516247	0.12521025	38.23836144
9468	0.14538955	0.14545982	38.16722146	0.13046726	0.13051418	36.31650210
9571	0.15762940	0.15765907	35.92596144	0.12926705	0.12935734	34.36136320
9924	0.14642343	0.14650320	34.79863740	0.12660236	0.12667192	32.95204929
9934	0.14712150	0.14716978	35.64893475	0.14268692	0.14275429	34.83770292
9947	0.13261039	0.13267257	39.07121635	0.12211454	0.12209110	37.74036639
9959	0.14543962	0.14546136	36.48672518	0.12750641	0.12751653	36.83024890
9973	0.14552487	0.14560400	36.16123441	0.13271783	0.13274427	36.01477792
10023	0.13497063	0.13501491	35.21736983	0.13027253	0.13034581	35.42371300
10151	0.14172713	0.14168709	36.52903810	0.13260048	0.13261953	36.08804706
10236	0.14675731	0.14684522	36.64490354	0.14577554	0.14581500	36.84684728
10327	0.13542023	0.13539807	38.91234819	0.11453082	0.11453179	39.69206749
10445	0.11750620	0.11750892	47.05461215	0.10789750	0.10793771	45.14169343
10639	0.12389629	0.12398402	38.12301513	0.13037302	0.13044963	37.67825728
10645	0.14117255	0.14123676	35.51887172	0.12236235	0.12240481	34.34056640
10661	0.14015940	0.14022706	35.94178576	0.12773876	0.12780018	35.13296453
10675	0.12721418	0.12725108	38.04753989	0.12647365	0.12642843	38.40017847
10775	0.14041334	0.14043943	37.50539999	0.12737313	0.12742474	36.38767944
10797	0.13496889	0.13500440	36.62052207	0.12544334	0.12560750	36.12542772
10800	0.14369200	0.14373996	38.16940700	0.12943160	0.12937816	38.01975062
10838	0.13779196	0.13785911	37.71657549	0.11795845	0.11802279	37.79141391
10936	0.13715746	0.13721779	36.72509884	0.12366153	0.12372743	36.93976093
10942	0.11778953	0.11780618	40.38886698	0.12087709	0.12100216	39.44408514
11010	0.12859692	0.12859889	39.76831823	0.12970336	0.12976628	38.99307298
11084	0.13932443	0.13936323	37.38961349	0.13084530	0.13091889	38.12804875
11163	0.13561960	0.13558992	42.16921305	0.12395686	0.12396804	41.39299142
11167	0.13830980	0.13833981	41.98881976	0.12940217	0.12944859	41.50074461
11176	0.12507922	0.12509918	42.06012214	0.12284014	0.12291705	40.83161627
11246	0.12922251	0.12930251	38.48052218	0.12311146	0.12316409	39.46564938
11632	0.13918496	0.13917068	37.62247023	0.12428381	0.12436963	38.05016430
11633	0.13447726	0.13458731	35.35759802	0.13872567	0.13881873	34.78596297
11655	0.14852220	0.14843460	32.64059663	0.14176996	0.14183517	33.83957203
11708	0.13937222	0.13938392	37.66688448	0.14318072	0.14320673	36.99720584
11761	0.11437358	0.11439238	45.73405188	0.12424718	0.12426397	46.10378124
11764	0.14670826	0.14661466	34.59026762	0.12824084	0.12829827	35.45365713
11857	0.12958285	0.12964598	37.10366218	0.12978883	0.12981723	37.40669279
12013	0.14410058	0.14417243	37.99981540	0.13348063	0.13352447	36.76105222
12175	0.13655046	0.13668830	37.06679458	0.14809422	0.14817215	35.74765608
12203	0.13005480	0.13007480	37.58180919	0.13476233	0.13479072	37.90043857
12236	0.14360181	0.14366434	35.42160433	0.13411125	0.13418632	34.25152728
12340	0.12870067	0.12876601	39.80067370	0.12430869	0.12433510	39.20559010
12486	0.12645833	0.12654352	40.53290915	0.11746135	0.11748668	40.48303067
12600	0.13653053	0.13659281	36.07887087	0.12760422	0.12762088	36.39220812
12717	0.13159346	0.13162370	40.95451192	0.13085721	0.13082609	40.72922097
12832	0.13508270	0.13510777	35.25591781	0.13481153	0.13484034	34.77238420
12872	0.13763808	0.13762935	38.62865341	0.13407285	0.13420514	38.83430211
12874	0.14068004	0.14073316	37.90965055	0.12710336	0.12720783	38.05557740
12994	0.14424191	0.14428322	38.56418404	0.12140246	0.12144916	38.55859154
13122	0.14587801	0.14587562	35.71967448	0.12885182	0.12885962	36.28418407
13158	0.14213015	0.14220956	41.16715533	0.13083028	0.13090261	41.29189070
13416	0.14490242	0.14495289	38.11525329	0.12621810	0.12616055	38.46751706
13581	0.12331364	0.12334008	41.65930512	0.12206629	0.12208362	40.85530561
13663	0.13536154	0.13528099	37.97368450	0.12755720	0.12757654	38.57422637
13668	0.12923440	0.12923062	38.52368751	0.12734420	0.12739166	38.29846811
13817	0.13613124	0.13615695	38.63598992	0.13697649	0.13703161	37.96177385
13942	0.13606624	0.13603163	34.52799419	0.14618295	0.14618869	33.91627375
14045	0.13153821	0.13165979	38.80138083	0.12763835	0.12772212	39.11672026
14064	0.12683178	0.12684575	41.91224053	0.11078303	0.11083207	40.73403166
14081	0.13943782	0.13949391	39.71133978	0.12856790	0.12861969	39.96364231
14136	0.13728802	0.13733818	38.06787404	0.12262282	0.12268247	37.62088539
14337	0.13813484	0.13822703	34.60658649	0.14482654	0.14484071	35.32763269
14367	0.14433572	0.14433325	38.03742959	0.12816545	0.12820361	38.99777390
14588	0.14079948	0.14086558	36.51636708	0.13492462	0.13500817	35.90832920
14610	0.12832766	0.12835532	38.23161133	0.11124262	0.11128164	37.37461133
14680	0.13574729	0.13572935	37.28370940	0.13501595	0.13510327	36.95242153
14893	0.13198372	0.13210986	37.69918853	0.11970367	0.11974328	36.89949379
15016	0.13878582	0.13869414	41.99801066	0.12024980	0.12026693	43.40077953
15039	0.14720135	0.14721343	36.60857725	0.13243475	0.13248464	36.86419526
15042	0.12842200	0.12854069	44.12582424	0.11063345	0.11064764	42.07189365
15072	0.12959504	0.12966793	43.53098101	0.11076204	0.11080213	42.36217128
15122	0.13509320	0.13509161	39.42005727	0.13102500	0.13101058	38.71707651
15178	0.12746831	0.12751887	44.36477592	0.11602002	0.11605616	43.39908184
15221	0.11920535	0.11925386	38.62790060	0.11622795	0.11624647	40.14325542
15731	0.13863835	0.13867080	38.18541748	0.13472773	0.13470181	37.56771728
15740	0.13247754	0.13252025	43.76809314	0.11811869	0.11819571	43.46056012
15777	0.14659840	0.14668410	37.68573845	0.12024904	0.12035149	37.56574378
15779	0.13173807	0.13173593	39.43577207	0.12311680	0.12317579	39.26225965
15838	0.14189474	0.14199115	33.28492594	0.13372824	0.13375070	32.14493734
15842	0.13008711	0.13012475	41.94319382	0.11641830	0.11649141	41.18633493
15874	0.12853587	0.12854501	40.08325541	0.11113148	0.11123867	39.48445330
15929	0.13148146	0.13151806	37.81323790	0.13204344	0.13205432	37.93109532
16090	0.12681614	0.12685971	38.92429202	0.13278862	0.13288147	37.44462430
16112	0.12635814	0.12640966	39.28315514	0.12251601	0.12253066	38.01757497
16141	0.13638577	0.13634841	40.94684094	0.12956658	0.12954629	40.01512731
16279	0.14311752	0.14320575	38.26715675	0.12975613	0.12982881	37.47477803
16440	0.14201428	0.14207617	38.51698043	0.12976200	0.12990669	37.44976820
16655	0.14874395	0.14885950	33.38143056	0.14711490	0.14705827	33.59348264
16935	0.13974324	0.13983990	38.70108640	0.12587169	0.12599523	37.36407179
16973	0.15043219	0.15053591	38.95068940	0.12742063	0.12751509	39.85755472
17009	0.13817420	0.13823991	40.21712750	0.12762253	0.12763768	38.30738634
17135	0.13131477	0.13142304	39.64174799	0.11971053	0.11973198	38.63330720
17203	0.13301093	0.13316375	39.84017669	0.11204375	0.11203735	39.33033868
17234	0.13896778	0.13895796	35.27544148	0.13276878	0.13281121	35.31245500
17345	0.12910539	0.12914648	38.35296582	0.12685168	0.12688997	35.83077494
17346	0.13462324	0.13463202	37.00983488	0.12716518	0.12723603	36.11865333
17347	0.14814907	0.14819199	38.62100846	0.12474290	0.12478319	38.36280633
17671	0.13460766	0.13461891	35.19394608	0.12645273	0.12650056	33.92641496
17772	0.13962252	0.13965062	37.01624990	0.12597345	0.12605794	36.05237993
17791	0.13812170	0.13811744	38.59549330	0.13024491	0.13028245	38.56291488
17857	0.12891589	0.12897579	39.22152303	0.12518333	0.12522615	38.60482124
18022	0.12573565	0.12582492	39.08217313	0.11791267	0.11790148	37.88474164
18027	0.11771172	0.11774172	46.09144244	0.11489551	0.11488693	45.59088127
18163	0.12645191	0.12645290	43.03130563	0.11045911	0.11041823	42.16531190
18315	0.13211116	0.13211831	36.28068868	0.12553890	0.12558256	36.18821169
18385	0.12644528	0.12645936	39.86567308	0.13598947	0.13605800	39.21094714
18440	0.12813777	0.12813749	36.27460052	0.12365285	0.12366740	36.30525788
18585	0.15377388	0.15382175	34.70892366	0.13646805	0.13653013	35.06292698
18648	0.13643599	0.13640211	37.48166306	0.13487721	0.13485760	37.61593338
18735	0.13970554	0.13975514	34.88800694	0.12497798	0.12502425	34.89634057
18800	0.13666827	0.13675575	40.84003533	0.12250817	0.12246687	39.78102913
18811	0.13307872	0.13311211	36.52504134	0.12906361	0.12918625	36.27708679
18835	0.14864250	0.14863669	37.43124594	0.13374539	0.13381073	35.38223537
18842	0.12985801	0.12985256	40.55413418	0.12678041	0.12688834	38.38113052
18915	0.14385607	0.14387674	39.94591158	0.13059535	0.13067300	38.62103027
19118	0.14095710	0.14100771	34.82595522	0.13880241	0.13887491	32.96037748
19165	0.12159548	0.12162715	42.92650916	0.11791920	0.11800673	42.37505390
19220	0.12756204	0.12758390	36.33951607	0.11963716	0.11964266	36.00748913
19257	0.11999335	0.11996450	48.53613303	0.11191197	0.11199954	47.55731852
19323	0.12782737	0.12787938	45.07031761	0.11780793	0.11783141	44.33324865
19326	0.13653201	0.13656365	34.95895744	0.13445976	0.13448376	34.56296780
19338	0.11889161	0.11896777	40.37701757	0.11925112	0.11938167	40.50706968
19362	0.14632544	0.14629858	37.20335188	0.11982774	0.11982075	36.10721913
19380	0.14093141	0.14101895	36.33595919	0.12721787	0.12725432	36.01157795
19434	0.13509327	0.13512376	39.37296482	0.12616967	0.12613825	37.94969064
19504	0.13387840	0.13393324	40.37321886	0.12997189	0.13001795	39.05921632
19704	0.12935237	0.12942136	36.26869915	0.11802047	0.11802349	35.96015610
19868	0.14220980	0.14233122	33.44185369	0.12909920	0.12910229	33.28204459
19911	0.14679993	0.14680780	37.28459404	0.12776377	0.12774002	38.53220097
19923	0.12341518	0.12345638	43.71044227	0.10832184	0.10836779	42.23101902
19972	0.13393372	0.13403646	36.81490216	0.11456122	0.11452979	36.14333948
20125	0.13929867	0.13924682	37.44754680	0.12641739	0.12636302	38.50378526
20254	0.12285696	0.12284374	40.66142948	0.13320258	0.13322097	39.81142498
20282	0.12922050	0.12918579	38.92710470	0.12125570	0.12126806	36.84013117
20318	0.16094527	0.16096476	36.17934801	0.12088536	0.12095189	36.94517832
20485	0.13065864	0.13075062	38.98501851	0.12702771	0.12700324	38.67951906
20652	0.14121233	0.14126024	35.58672110	0.13647580	0.13653430	34.97377208
20678	0.12765811	0.12769492	41.80725277	0.12754109	0.12765213	38.70812765
20801	0.13788299	0.13787082	39.28910129	0.12607787	0.12600011	37.67839733
20840	0.14027210	0.14030772	37.27660811	0.12246677	0.12253528	38.94439622
20890	0.13683143	0.13685313	38.77567134	0.13800833	0.13791224	39.19246909
20917	0.14324338	0.14332051	38.33089706	0.14296167	0.14295282	35.31277059
21029	0.12657869	0.12658552	39.01233816	0.12260206	0.12266397	39.26143608
21196	0.13047397	0.13056759	40.54559622	0.12983024	0.12989176	39.58977635
21286	0.13221990	0.13228830	37.14153583	0.12631072	0.12629230	35.51833227
21303	0.14304129	0.14301844	35.63116344	0.13065074	0.13078982	34.35503005
21306	0.13938378	0.13940205	38.24550807	0.12241055	0.12256219	37.42391397
21383	0.14392707	0.14392350	34.32748210	0.14213311	0.14211427	33.41770723
21489	0.15146996	0.15151373	35.22781611	0.13180420	0.13182999	35.32706277
21511	0.12278915	0.12282960	38.96747752	0.11618947	0.11621380	38.06717162
21789	0.13397133	0.13409569	36.65276508	0.13657658	0.13661105	34.85323269
21976	0.14465866	0.14463266	38.41383662	0.14421285	0.14425269	37.38688896
22035	0.12775214	0.12776528	40.53326241	0.11867812	0.11879727	39.85311399
22039	0.14069686	0.14072387	36.76508420	0.14969223	0.14956541	37.55185991
