"rs" "chr" "pos" "hapflk_v1.4_ALL" "hapflk_v1.4_ALL_scaled" "hapflk_v1.4_ALL_log_pvalue" "hapflk_v1.4_PRUNED" "hapflk_v1.4_PRUNED_scaled" "hapflk_v1.4_PRUNED_log_pvalue" "hapflk_v1.4_PRUNED_KIN" "hapflk_v1.4_PRUNED_KIN_scaled" "hapflk_v1.4_PRUNED_KIN_log_pvalue"
1 1 42 33.6713603943 579.752205122 1.1274453412729 32.8398858658 532.626502687 0.314983035202822 34.2677404863 582.38922887 1.19108870666049
2 1 90 33.6756159351 579.828429006 1.12925758105509 32.8402273717 532.630121928 0.315022673482127 34.2775406702 582.559217254 1.1952582330009
3 1 160 33.6762964871 579.840618835 1.1295475482302 NA NA NA 34.2840338231 582.671843769 1.19802523357591
4 1 161 33.6766474118 579.846904486 1.12969708525666 32.840494512 532.632953052 0.315053682494578 34.3109426024 583.138588061 1.20953009183184
5 1 228 33.677155006 579.855996351 1.12991340238576 32.8407795293 532.635973634 0.315086768827888 34.4250543802 585.117905673 1.25899720877111
6 1 335 33.6775325461 579.862758728 1.13007431050935 NA NA NA 34.4479675335 585.515344122 1.26906232663351
7 1 533 33.6787407441 579.884399584 1.13058933243737 32.8410642884 532.63899148 0.315119827459722 34.4852600159 586.162198186 1.28553846928245
8 1 628 33.6820227342 579.943185538 1.13198901902496 32.8396792153 532.624312627 0.314959051042387 34.5138825427 586.658668161 1.29826360212638
9 1 634 33.6830538176 579.961653975 1.13242895053551 NA NA NA 34.538582635 587.087101832 1.30930032840176
10 1 768 33.686828817 580.029270554 1.13404044326029 NA NA NA 34.562582081 587.503382492 1.32007317426808
11 1 890 33.715340345 580.539959912 1.14625304891217 32.8399434273 532.627112717 0.31498971608383 34.5795505473 587.797707801 1.32771921074553
12 1 942 33.7206085558 580.634322416 1.14851764210087 32.8402155006 532.629996119 0.315021295556476 34.5987184016 588.130182435 1.33638543412053
13 1 1018 33.7398084304 580.978224421 1.15679204888245 32.8404893706 532.632898564 0.315053085673543 34.6208495005 588.514055815 1.34642984585876
14 1 1076 33.7463018376 581.09453225 1.15959796749532 32.8407668593 532.635839358 0.31508529797653 34.6490391909 589.003018058 1.35928364616627
15 1 1098 33.7563286049 581.274128495 1.16393817084069 32.8410236385 532.638560676 0.315115108132484 34.6727143203 589.413673307 1.3701305261574
16 1 1275 33.7594909996 581.330772296 1.16530892767796 32.8413925324 532.642470173 0.31515793720619 34.6951528037 589.802878404 1.38045430416626
17 1 1416 33.7690076716 581.501231876 1.16943941064254 NA NA NA 34.7102657825 590.065019487 1.3874315096665
18 1 1464 33.7987097106 582.033245285 1.18238329200868 32.8418399557 532.647211916 0.315209888764344 34.718628534 590.21007499 1.39130058358466
19 1 1565 33.8012487151 582.078723121 1.18349345107479 32.8421175089 532.650153394 0.315242119040914 34.7336491431 590.470613883 1.39826469955501
20 1 1701 33.809013414 582.21780192 1.18689210243491 32.8423091421 532.652184301 0.315264373301034 34.742836959 590.62998048 1.40253385166412
21 1 1774 33.8150563836 582.326041655 1.189540897765 32.8425667661 532.654914573 0.315294292669153 34.7635478189 590.989219208 1.41218321724025
22 1 1896 33.8435683675 582.836739178 1.20208278951449 NA NA NA 34.801412026 591.645990082 1.42991752676937
23 1 1981 33.8687258513 583.28735197 1.21320983572686 32.8429443418 532.658916078 0.315338146059459 34.8144332543 591.871848858 1.43604401749118
24 1 1999 33.891149286 583.688993351 1.22317560899003 NA NA NA 34.811557207 591.821962587 1.43468961318501
25 1 2009 33.8910829852 583.687805792 1.22314607589573 32.8430708989 532.660257317 0.315352845887566 34.8137597545 591.860166716 1.43572678699747
26 1 2019 33.9088367467 584.005805481 1.23106844893624 32.8432188711 532.661825509 0.315370033667744 34.8240157666 592.038061634 1.44056167307345
27 1 2021 33.9219859652 584.24133007 1.23695437724679 NA NA NA 34.8313707174 592.165636403 1.4440343716359
28 1 2062 33.9319569508 584.419927171 1.24142801030105 NA NA NA 34.8785575701 592.984112554 1.46642187121396
29 1 2160 33.9433013538 584.623124483 1.24652871709006 NA NA NA 34.9217259016 593.732885736 1.48706617461943
30 1 2179 33.9424188282 584.607316968 1.24613149812067 32.8437757327 532.667727067 0.315434721726065 34.9294499561 593.866862766 1.49077648852748
31 1 2229 33.9296751081 584.379055534 1.24040343843225 32.842844036 532.657853049 0.315326495690088 34.9381779856 594.018254172 1.4949750790082
32 1 2268 33.9257154749 584.308131854 1.2386266316535 32.8421865609 532.6508852 0.315250137897679 34.9676172093 594.528890105 1.50918372867719
33 1 2273 33.9189598814 584.187127827 1.23559844716866 32.8418695027 532.647525052 0.315213319745946 34.9893587672 594.906006729 1.51972368475398
34 1 2287 33.9172433605 584.156382054 1.23482967306213 NA NA NA 34.9918306277 594.948882207 1.5209245049758
35 1 2289 33.9159019688 584.132355476 1.23422909158041 NA NA NA 34.9928707267 594.96692317 1.52142993375693
36 1 2306 33.9106907373 584.039013567 1.23189740135252 NA NA NA 34.9921388997 594.954229317 1.52107429814356
37 1 2396 33.8020430772 582.09295148 1.18384089858084 32.840106304 532.628838866 0.315008620891668 34.8664449605 592.774014158 1.46065732204326
38 1 2436 33.7713822506 581.543764574 1.17047131047853 32.8393871447 532.621217295 0.314925154949537 34.7834968443 591.335243589 1.42151167214756
39 1 2624 33.8233260096 582.474164547 1.19317102153063 32.8435317607 532.665141479 0.315406379550888 34.7139730373 590.129323407 1.389145967186
40 1 2723 33.783693399 581.764277922 1.17582939440841 32.8505065087 532.73905909 0.316217291723296 34.7059541322 589.990232068 1.38543899523391
41 1 2840 33.7541328305 581.234798486 1.1629869302521 NA NA NA 34.6997728772 589.883015554 1.38258521647539
42 1 2918 33.6638919638 579.618432988 1.12426882167608 32.854047493 532.776586052 0.316629502151253 34.6794651244 589.530768892 1.37323207156259
43 1 2927 33.6458595537 579.295442233 1.11661987075132 32.8625129299 532.86630182 0.317616398119011 34.6829035182 589.590409305 1.37481325667055
44 1 3003 33.4352597445 575.523245908 1.02945666840928 32.8972990956 533.234961772 0.321692850896225 34.5839242535 587.873571605 1.32969394127594
45 1 3028 33.3075723877 573.236150873 0.978554824266506 32.8917961351 533.176642003 0.321045718750307 34.446612529 585.491840989 1.26846587971944
46 1 3078 33.2638104786 572.452301575 0.961447222238714 32.8782566415 533.033151941 0.31945713422996 34.370101072 584.164717028 1.23503805642545
47 1 3129 33.1059565012 569.624871693 0.901170362998285 NA NA NA 34.2270503024 581.68344022 1.17386359754152
48 1 3277 32.9096637008 566.108937927 0.829339808024364 NA NA NA 33.9447215628 576.786327424 1.05819744524712
49 1 3495 32.7551186093 563.340775751 0.775217402320368 32.8457280663 532.688417684 0.315661583925432 33.8013093706 574.298781586 1.00202221562772
50 1 3539 32.7125458657 562.578226402 0.760683618250535 NA NA NA 33.7144836065 572.792751554 0.968856401437577
51 1 3571 32.7313348953 562.914769482 0.767077985561203 32.8115495372 532.326197396 0.31170542577482 33.5236005562 569.481803369 0.898179919993466
52 1 3725 32.5132558648 559.008607742 0.694798098868595 32.7890476196 532.087724552 0.309118647432551 33.3561999231 566.578167759 0.838726181284874
53 1 3758 32.4600617276 558.055811394 0.677809370394444 NA NA NA 33.2926882466 565.476530553 0.81678661468691
54 1 3790 32.4828950184 558.464793986 0.685070928755509 32.7248676469 531.40755227 0.30181810822285 33.3320094092 566.158572944 0.830329785549835
55 1 3793 32.5046590471 558.854624296 0.692035498552106 32.7204617589 531.360859155 0.301321132171168 33.3624112905 566.685906585 0.840890054934386
56 1 3856 32.3829849427 556.675236711 0.653638216507245 32.6658348663 530.781929363 0.295203981013441 33.1541744455 563.073949404 0.770113414115235
57 1 3863 32.4509114023 557.891913699 0.674912314656661 NA NA NA 32.9719049997 559.912407875 0.711145474808241
58 1 4072 32.5598514617 559.843213148 0.709885921463607 32.6685439136 530.810639547 0.295505396637759 32.9827958019 560.101313499 0.714590888600457
59 1 4081 32.609061646 560.724650206 0.726030038791494 NA NA NA 33.0179037754 560.710276322 0.725765042075408
60 1 4118 32.7189342027 562.692652248 0.762854187692619 NA NA NA 32.9855450801 560.149000905 0.715462214699068
61 1 4154 32.8330182579 564.736089304 0.802230918680196 NA NA NA 33.2140892761 564.113197778 0.790104539279602
62 1 4186 32.8360530328 564.79044722 0.80329428838783 32.6621920986 530.743323712 0.294798996730085 33.2112323006 564.063642316 0.789144447254877
63 1 4329 32.8825923537 565.624044628 0.81970475560659 NA NA NA 33.0576047606 561.398906897 0.738525101358358
64 1 4531 32.7759870446 563.714564479 0.782400783072386 NA NA NA 32.8560310047 557.90252385 0.675099634988526
65 1 4611 32.5338002417 559.37659204 0.701426656879028 NA NA NA 32.744938496 555.97557675 0.641589213477813
66 1 4681 32.4998009226 558.767607126 0.690477235214704 32.662682904 530.748525213 0.294853540600059 32.7244344928 555.61992604 0.635516131994923
67 1 4773 32.7031458593 562.409856498 0.757496398972213 32.6611313202 530.732081699 0.294681133686206 33.4571504021 568.329197013 0.874297092082834
68 1 4808 32.6911367364 562.194752936 0.753435996011586 NA NA NA 33.5072988027 569.19904248 0.892286463553289
69 1 4836 32.6727522686 561.865456237 0.747244963487657 NA NA NA 33.5252792547 569.510921113 0.898788080079609
70 1 4918 32.4580065139 558.018999064 0.677158029238163 NA NA NA 33.336998324 566.245107807 0.832057382466469
71 1 4943 32.3019333294 555.223466175 0.628787193754817 NA NA NA 33.3415192707 566.323525561 0.833624735823657
72 1 5018 32.6079525896 560.704785143 0.725663821933202 32.649709639 530.61103598 0.293414038674583 33.5679966098 570.251871916 0.91434370593739
73 1 5059 32.6245295802 561.00170689 0.731149061659626 NA NA NA 33.6885796868 572.343436983 0.959084875655565
74 1 5077 32.6110541122 560.760338622 0.726688237922072 32.6422026251 530.531477474 0.292583187706917 33.730967841 573.078677656 0.975104112377459
75 1 5155 32.5672140492 559.975089457 0.712287615234953 NA NA NA 33.7724068776 573.797455476 0.990911315666318
76 1 5166 32.5247964602 559.21531919 0.698517007876134 NA NA NA 33.7682979087 573.726183653 0.989337444821794
77 1 5262 32.4477348324 557.835015997 0.673908326433956 32.6439296798 530.549780608 0.292774194668081 33.744075379 573.306033511 0.980088392683688
78 1 5271 32.3970743557 556.927601764 0.658017352478669 NA NA NA 33.7338462642 573.128605137 0.976197420190091
79 1 5356 31.9376541012 548.698613322 0.524216231302105 32.6292779177 530.394502847 0.291156363818807 33.7256989382 572.987286282 0.973104644027765
80 1 5356 32.2098236827 553.573627687 0.601248565931495 32.6386605988 530.493939469 0.292191707640766 33.6618953289 571.880585377 0.9490781822222
81 1 5360 31.6766080411 544.022839909 0.456356954333702 NA NA NA 33.6177741852 571.11528526 0.932664488381299
82 1 5374 31.6468850516 543.490451242 0.449000081353426 32.6474794796 530.587400996 0.293167049906146 33.6290252393 571.310439608 0.936834436500189
83 1 5598 31.5092520335 541.025212706 0.415908758120707 32.6784186644 530.915291069 0.296605803590357 33.499434677 569.062635854 0.889451411827424
84 1 5715 31.8520485266 547.165273689 0.501317553384638 NA NA NA 33.5459716909 569.869840274 0.906304064751402
85 1 5740 31.9249548923 548.471149161 0.520779315098325 32.6853292197 530.988528372 0.297377494378967 33.5342706839 569.6668813 0.902049545655928
86 1 5765 31.899989072 548.023969384 0.514063224824645 32.6673736684 530.798237417 0.295375167248503 33.4435091592 568.092583817 0.869440324444999
87 1 5767 31.9156265678 548.304063199 0.518263584173166 32.6581719129 530.700718226 0.294352478299715 33.3895176954 567.156078776 0.850371192039665
88 1 5786 31.9125988848 548.249832312 0.517448673909543 NA NA NA 33.3449079427 566.382303527 0.834800671370117
89 1 5867 31.9181597886 548.349437439 0.518946017416115 NA NA NA 33.2385799956 564.537999788 0.798362796051221
90 1 5941 31.8118529953 546.445304208 0.490783574110931 NA NA NA 33.0437824108 561.159152326 0.734067593745042
91 1 6058 31.7969699606 546.178724058 0.486918425567547 32.6525280874 530.640905585 0.293726376324811 32.9323597894 559.226479281 0.698718123757145
92 1 6087 31.8554859148 547.226843087 0.502224837422091 32.6696023079 530.821856294 0.295623211400881 32.8528943423 557.848117097 0.674139422601588
93 1 6146 31.9364995408 548.677933206 0.523903184039086 NA NA NA 32.8105044069 557.112845529 0.661242950788477
94 1 6172 31.982576493 549.503248814 0.536486154923776 32.6202642442 530.298976928 0.290164021706283 32.6516668662 554.35774042 0.614243674605165
95 1 6332 32.1032544383 551.664793516 0.570316164639206 32.5687856192 529.75341213 0.284539382628384 32.3502361012 549.129294822 0.530761954026519
96 1 6368 32.1515303853 552.529496817 0.584205332386069 NA NA NA 32.1578298656 545.791926335 0.481344032858801
97 1 6384 32.0817987557 551.280486203 0.564208666585282 32.5532721674 529.589002277 0.282858610549323 32.019526937 543.393002859 0.44766160457882
98 1 6467 32.0803347126 551.254262731 0.563793381900187 NA NA NA 32.035479238 543.669702345 0.451468700312583
99 1 6503 32.0048994175 549.903089888 0.542648469697117 NA NA NA 31.9980020281 543.019644104 0.442556668665953
100 1 6564 31.9493623006 548.908326839 0.527397310318983 32.555937238 529.617246401 0.283146883189481 31.8841685381 541.045153511 0.416170023288744
101 1 6642 31.5186100922 541.192831256 0.418108141820293 32.560743422 529.66818181 0.283667245106965 31.5616698058 535.451275005 0.346919344237621
102 1 7084 31.3577222054 538.311058962 0.381314286363272 32.5541817529 529.598641963 0.282956975812036 31.584850586 535.853355555 0.351628994430311
103 1 7370 31.4233378404 539.486345198 0.396059493206124 32.5392884972 529.44080488 0.2813492237886 31.5215936054 534.75613616 0.338873773641361
104 1 7487 31.5176062331 541.174850454 0.41787185704442 32.5359870109 529.405816091 0.280993644053986 31.4804189974 534.041944966 0.330734860046338
105 1 7489 31.8031531734 546.289475785 0.488521907037417 32.557767114 529.636639225 0.283344927932025 31.4958825778 534.310167384 0.333776442573258
106 1 7614 32.019982805 550.173258694 0.54683680124965 32.5572902702 529.631585687 0.283293311009464 31.6409936928 536.827181767 0.363206259624975
107 1 7665 32.2289662703 553.916503584 0.606910330070959 32.5326675326 529.370636626 0.280636426837648 31.9765808267 542.648084199 0.437512870249096
108 1 7870 32.4757349492 558.33654512 0.682788870037959 NA NA NA 32.1154683152 545.057147116 0.470864650551879
109 1 7894 32.703926255 562.423834697 0.757760704021945 32.5491075231 529.544865835 0.282408522728691 32.1778810421 546.139722572 0.486354536847909
110 1 8029 32.7424475689 563.113816133 0.770874744556253 NA NA NA 32.1417783101 545.513505236 0.477356261268199
111 1 8079 32.7148562203 562.619608734 0.761468188196957 NA NA NA 32.1775920127 546.134709233 0.486282082823467
112 1 8083 32.7392129252 563.05587823 0.769768456745529 NA NA NA 32.2166682443 546.81250319 0.496138753084376
113 1 8205 32.7390752575 563.053412372 0.76972139347374 NA NA NA 32.176154673 546.109777961 0.48592186970542
114 1 8222 32.7123324028 562.574402924 0.760611152764971 32.4839544427 528.854380664 0.275428871346874 32.1373222079 545.436212238 0.476252877010278
115 1 8281 32.6692241995 561.802262594 0.746060323402868 32.4391678276 528.37973705 0.270698039729849 32.1573173972 545.783037351 0.481216397847129
116 1 8360 32.5554323024 559.764058583 0.708446696691514 NA NA NA 32.0325546496 543.61897411 0.450769215858709
117 1 8435 32.8593625148 565.207959195 0.811489309673715 NA NA NA 32.2510342678 547.408596572 0.504909086860074
118 1 8464 32.8791959832 565.563209929 0.818500579914072 NA NA NA 32.2978314814 548.220314266 0.517005448693142
119 1 8508 32.9107618014 566.128606752 0.829732023194815 NA NA NA 32.3351381727 548.867414791 0.526775796025928
120 1 8572 32.7988041127 564.123256493 0.790299501354186 32.4312727211 528.296065581 0.269869718402775 32.3095417532 548.423433942 0.520060122847004
121 1 8591 32.7589074206 563.408639725 0.776518702648262 NA NA NA 32.364551721 549.377605373 0.534558683349594
122 1 8641 32.7472569136 563.199959574 0.772521328125152 32.3961558234 527.923900566 0.26620584032182 32.4340196682 550.582556641 0.553219706709983
123 1 8677 32.6736389839 561.881338799 0.74754287564168 NA NA NA 32.4279041821 550.476480918 0.551561117466218
124 1 8726 32.6803883205 562.002230754 0.749812767868975 32.3674093931 527.619249065 0.263231407041115 32.4798630013 551.377728871 0.565750270695342
125 1 8727 32.641798058 561.311014332 0.73688915177232 32.3771094406 527.722049099 0.264232593732621 32.4530954145 550.913433623 0.558412892553513
126 1 8757 32.5824834162 560.248589468 0.717283893175201 NA NA NA 32.4391247518 550.671106501 0.55460660236265
127 1 8825 32.4824418094 558.456676251 0.684926347028313 32.3783785566 527.735499051 0.264363772641952 32.416061094 550.271057487 0.548357818745279
128 1 8853 32.4242326272 557.414052023 0.666507987940786 NA NA NA 32.4382971587 550.656751544 0.554381625937993
129 1 8902 32.4221454741 557.376667607 0.66585315391086 NA NA NA 32.4269377814 550.459718284 0.551299298019394
130 1 8920 32.4253636476 557.434310499 0.666863001219645 32.3736619635 527.685513116 0.263876473285062 32.4261482659 550.4460238 0.551085457312402
131 1 8961 32.3684936514 556.415673344 0.649152484679622 NA NA NA 32.3239348574 548.673088494 0.523829863431722
132 1 8974 32.3832001325 556.679091122 0.653704967712014 32.3469483829 527.402405532 0.261127839456644 32.2425888662 547.262107469 0.502744950262832
133 1 9071 32.4275986848 557.474343769 0.667564884823297 32.3102017362 527.012968617 0.257378211542666 32.3099639418 548.430756984 0.520170460239238
