"unique" "selCoef" "originGen" "descrip" "fixed_since" "simID" "pos" "freq_old" "freq_final" "chrom" "a_freq_old" "vcf_ord" "for_relatedness" "a_freq_final" "keep_loci" "pa2" "prop" "He"
"100165_0.0025" -0.336763 11995 "QTL" NA 2388682558411 100166 0.0025 0.00253549695740365 "3" 0.0025 3553 FALSE 0.00253549695740365 FALSE 0.00028681990159189 0.00178 0.0050581364251653
"101691_1" -0.0205562 748 "QTL" NA 2388682558411 101692 1 1 "3" 1 3597 FALSE 1 FALSE 0 0 0
"108012_1" -0.0414791 2445 "QTL" NA 2388682558411 108013 1 1 "3" 1 3804 FALSE 1 FALSE 0 0 0
"108267_0.068" -0.0998368 11655 "QTL" NA 2388682558411 108268 0.068 0.0633874239350913 "3" 0.068 3812 FALSE 0.0633874239350913 TRUE 0.000591758346357154 0.00366 0.118738916843929
"114370_0.0035" 0.355039 11991 "QTL" NA 2388682558411 114371 0.0035 0.00354969574036511 "3" 0.0035 4026 FALSE 0.00354969574036511 FALSE 0.000445860395401584 0.00276 0.00707419080103189
"115981_0.005" 0.121692 11987 "QTL" NA 2388682558411 115982 0.005 0.0050709939148073 "3" 0.005 4082 FALSE 0.0050709939148073 FALSE 7.47152474891071e-05 0.00046 0.0100905578710466
"117569_1" 0.000727559 5197 "QTL" NA 2388682558411 117570 1 1 "3" 1 4130 FALSE 1 FALSE 0 0 0
"117972_1" -0.184231 2 "QTL" NA 2388682558411 117973 1 1 "3" 1 4146 FALSE 1 FALSE 0 0 0
"119393_5e-04" 0.277242 11998 "QTL" NA 2388682558411 119394 5e-04 0.00050709939148073 "3" 5e-04 4195 FALSE 0.00050709939148073 FALSE 3.89574793708378e-05 0.00024 0.00101368448337578
"120636_0.006" -1.20809 11984 "QTL" NA 2388682558411 120637 0.006 0.00101419878296146 "3" 0.006 4235 FALSE 0.00101419878296146 FALSE 0.00147870308700972 0.00916 0.0020263403675802
"122453_1" -0.141128 220 "QTL" NA 2388682558411 122454 1 1 "3" 1 4292 FALSE 1 FALSE 0 0 0
"125832_1" 0.233097 1642 "QTL" NA 2388682558411 125833 1 1 "3" 1 4402 FALSE 1 FALSE 0 0 0
"130198_1" 0.160169 7111 "QTL" NA 2388682558411 130199 1 1 "3" 1 4577 FALSE 1 FALSE 0 0 0
"131255_5e-04" -0.406198 11997 "QTL" NA 2388682558411 131256 5e-04 0.00050709939148073 "3" 5e-04 4619 FALSE 0.00050709939148073 FALSE 8.36273556893579e-05 0.00052 0.00101368448337578
"131423_5e-04" -1.19226 11996 "QTL" NA 2388682558411 131424 5e-04 0.00050709939148073 "3" 5e-04 4622 FALSE 0.00050709939148073 FALSE 0.000720468090251246 0.00446 0.00101368448337578
"131693_0.0135" -0.256258 11925 "QTL" NA 2388682558411 131694 0.0135 0.0136916835699797 "3" 0.0135 4633 FALSE 0.0136916835699797 TRUE 0.000886797404291022 0.00549 0.0270084427419985
"140412_0.9755" -0.0230383 8429 "QTL" NA 2388682558411 140413 0.9755 0.975659229208925 "3" 0.9755 4906 FALSE 0.975659229208925 TRUE 1.2604724053541e-05 8e-05 0.0474965953367429
"144160_0.01" -0.111014 11153 "QTL" NA 2388682558411 144161 0.01 0.0101419878296146 "3" 0.01 5040 FALSE 0.0101419878296146 TRUE 0.000123723298586869 0.00077 0.0200782558249571
"146620_0.0185" -0.0728309 11816 "QTL" NA 2388682558411 146621 0.0185 0.0182555780933063 "3" 0.0185 5112 FALSE 0.0182555780933063 TRUE 9.50660361383604e-05 0.00059 0.035844623923571
"148441_1" -0.0960332 4331 "QTL" NA 2388682558411 148442 1 1 "3" 1 5184 FALSE 1 FALSE 0 0 0
"148858_0.037" 0.168202 11916 "QTL" NA 2388682558411 148859 0.037 0.037525354969574 "3" 0.037 5198 FALSE 0.037525354969574 TRUE 0.00102182474962544 0.00633 0.072234405407963
"152339_0.5205" 0.10745 11419 "QTL" NA 2388682558411 152340 0.5205 0.522819472616633 "4" 0.5205 5327 FALSE 0.522819472616633 TRUE 0.00288036355475838 0.01783 0.498958543338997
"152500_0.7985" -0.599492 8906 "QTL" NA 2388682558411 152501 0.7985 0.797667342799189 "4" 0.7985 5337 FALSE 0.797667342799189 TRUE 0.0580035508654464 0.35913 0.322788306061741
"153033_0.001" 0.0826914 11999 "QTL" NA 2388682558411 153034 0.001 0.00101419878296146 "4" 0.001 5357 FALSE 0.00101419878296146 FALSE 6.92792360743163e-06 4e-05 0.0020263403675802
"154740_0.6655" -0.215172 9873 "QTL" NA 2388682558411 154741 0.6655 0.664807302231237 "4" 0.6655 5406 FALSE 0.664807302231237 TRUE 0.0103171998503379 0.06388 0.445677106262523
"155094_0.2365" 0.610939 11490 "QTL" NA 2388682558411 155095 0.2365 0.239858012170385 "4" 0.2365 5420 FALSE 0.239858012170385 TRUE 0.068052588936453 0.42134 0.364652292336113
"157318_0.279" 0.21142 9442 "QTL" NA 2388682558411 157319 0.279 0.280933062880325 "4" 0.279 5464 FALSE 0.280933062880325 TRUE 0.00902951266210229 0.05591 0.404019354122008
"158386_0.1165" 0.091986 9157 "QTL" NA 2388682558411 158387 0.1165 0.117647058823529 "4" 0.1165 5511 FALSE 0.117647058823529 TRUE 0.000878348532456747 0.00544 0.207612456747405
"158422_5e-04" 0.866012 12000 "QTL" NA 2388682558411 158423 5e-04 0.00050709939148073 "4" 5e-04 5512 FALSE 0.00050709939148073 FALSE 0.00038011991448942 0.00235 0.00101368448337578
"160049_0.0035" -0.0476537 11506 "QTL" NA 2388682558411 160050 0.0035 0.00354969574036511 "4" 0.0035 5570 FALSE 0.00354969574036511 FALSE 8.03230195514998e-06 5e-05 0.00707419080103189
"163959_5e-04" 0.863829 11999 "QTL" NA 2388682558411 163960 5e-04 0.00050709939148073 "4" 5e-04 5707 FALSE 0.00050709939148073 FALSE 0.000378205955071305 0.00234 0.00101368448337578
"165774_1" -0.0399484 5974 "QTL" NA 2388682558411 165775 1 1 "4" 1 5769 FALSE 1 FALSE 0 0 0
"165996_0.0015" -0.153324 11988 "QTL" NA 2388682558411 165997 0.0015 0.00152129817444219 "4" 0.0015 5782 FALSE 0.00152129817444219 FALSE 3.57086499793334e-05 0.00022 0.00303796765261326
"167091_5e-04" 1.76128 12000 "QTL" NA 2388682558411 167092 5e-04 0.00050709939148073 "4" 5e-04 5833 FALSE 0.00050709939148073 FALSE 0.00157227898666689 0.00973 0.00101368448337578
"170784_0.0155" -0.0524085 11938 "QTL" NA 2388682558411 170785 0.0155 0.0157200811359026 "4" 0.0155 5954 FALSE 0.0157200811359026 TRUE 4.24988195883738e-05 0.00026 0.0309459203699665
"176103_1" 0.0431587 5667 "QTL" NA 2388682558411 176104 1 1 "4" 1 6130 FALSE 1 FALSE 0 0 0
"176143_0.0015" 0.153606 11996 "QTL" NA 2388682558411 176144 0.0015 0.00152129817444219 "4" 0.0015 6131 FALSE 0.00152129817444219 FALSE 3.58401245003713e-05 0.00022 0.00303796765261326
"177166_5e-04" 1.91349 12000 "QTL" NA 2388682558411 177167 5e-04 0.00050709939148073 "4" 5e-04 6169 FALSE 0.00050709939148073 FALSE 0.00185577447468851 0.01149 0.00101368448337578
"178817_5e-04" 0.530898 11999 "QTL" NA 2388682558411 178818 5e-04 NA NA NA NA NA NA NA NA NA NA
"181863_1" 0.313343 8457 "QTL" NA 2388682558411 181864 1 1 "4" 1 6337 FALSE 1 FALSE 0 0 0
"185479_0.958" 0.00425727 10869 "QTL" NA 2388682558411 185480 0.958 0.95841784989858 "4" 0.958 6467 FALSE 0.95841784989858 TRUE 7.22310992393108e-07 0 0.0797061497887257
"186969_5e-04" -1.86571 11998 "QTL" NA 2388682558411 186970 5e-04 0.00050709939148073 "4" 5e-04 6505 FALSE 0.00050709939148073 FALSE 0.0017642538819027 0.01092 0.00101368448337578
"189480_1" 0.170439 6838 "QTL" NA 2388682558411 189481 1 1 "4" 1 6601 FALSE 1 FALSE 0 0 0
"191479_5e-04" 0.51286 12000 "QTL" NA 2388682558411 191480 5e-04 0.00050709939148073 "4" 5e-04 6667 FALSE 0.00050709939148073 FALSE 0.000133312373017272 0.00083 0.00101368448337578
"193929_5e-04" -0.738835 12000 "QTL" NA 2388682558411 193930 5e-04 0.00050709939148073 "4" 5e-04 6749 FALSE 0.00050709939148073 FALSE 0.000276673602054132 0.00171 0.00101368448337578
"225000_1" 0.5 11703 "full_sweep" 40 2388682558411 225001 1 1 "5" 1 7790 FALSE 1 FALSE NA NA 0
"275000_0.8095" 0.5 11942 "partial_sweep" NA 2388682558411 275001 0.8095 0.807809330628803 "6" 0.8095 9540 FALSE 0.807809330628803 TRUE NA NA 0.310506831955696
"320000_0.4585" -0.05 2681 "Inversion" NA 2388682558411 320001 0.4585 0.457910750507099 "7" 0.4585 11084 TRUE 0.457910750507099 TRUE NA NA 0.496456990154249
