"unique" "vcf_ord" "position" "chrom" "a_freq_old" "for_relatedness" "a_freq_final" "keep_loci" "quasi_indep" "pca_ALL_PC1_loadings" "pca_ALL_PC2_loadings" "pca_ALL_PC3_loadings" "pca_PRUNED_PC1_loadings" "pca_PRUNED_PC2_loadings" "pcadapt_3.0.4_ALL_chisq" "pcadapt_3.0.4_ALL_log10p" "pcadapt_3.0.4_PRUNED_log10p" "OutFLANK_0.2_FST" "OutFLANK_0.2_He" "OutFLANK_0.2_ALL_log10p" "OutFLANK_0.2_PRUNED_log10p" "LFMM_ridge_0.0_ALL_log10p" "LFMM_lasso_0.0_ALL_log10p" "Spearmans_ALL_rho" "simID" "RDAvegan_2.52_ALL_RDA1" "RDAvegan_2.52_ALL_PC1" "RDAvegan_2.52_ALL_PC2" "RDAvegan_2.52_ALL_PC3" "RDAvegan_2.52_PRUNED_RDA1" "RDAvegan_2.52_PRUNED_PC1" "RDAvegan_2.52_PRUNED_PC2" "RDAvegan_2.52_PRUNED_PC3"
"100016_0.193" 2786 100016 3 0.193 TRUE 0.193856998992951 TRUE TRUE 0.00421106199872869 -0.0135229550965432 0.000154149870610836 0.0286860826425892 0.0143458215016862 7.21639943346045 1.18501320346795 0.762919542631796 0.0255330577552679 0.312552925868796 0.684115435208806 0.770055881675264 0.299574051465554 0.16339267859786 0.0673386574020278 10900 -0.0443538865392997 0.0302093322462672 -0.0701185026117571 0.00307997151669098 -0.0536541174112675 0.0814162796509272 -0.0423987916425244 -0.0311692655050512
"100020_0.193" 2787 100020 3 0.193 FALSE 0.193856998992951 TRUE FALSE 0.00421106199872869 -0.0135229550965432 0.000154149870610836 NA NA 7.21639943346045 1.18501320346795 0.762919542631796 0.0255330577552679 0.312552925868796 0.684115435208806 0.770055881675264 0.299574051465554 0.16339267859786 0.0673386574020278 10900 -0.0443538865392997 0.0302093322462672 -0.0701185026117571 0.00307997151669098 NA NA NA NA
"100060_0.03" 2790 100060 3 0.03 FALSE 0.0302114803625378 TRUE TRUE NA NA NA NA NA NA NA 0.458469637415965 0.0315734442518683 0.0585974936336833 NA NA 0.400969100690409 0.398308403655336 -0.0691344940744471 10900 0.0431869974541604 -0.0158681877555953 0.00261571663015431 -0.059790165987759 0.0522425521829416 -0.0481429755279547 0.0233984749819594 -0.0773854494425817
"100109_0.441" 2791 100109 3 0.441 FALSE 0.440584088620342 TRUE FALSE 0.000885909532337837 -0.0146710681684129 -0.00103891312192305 NA NA 5.66703707564102 0.889469636201576 0.681785528249042 0.0196472916464136 0.492939498949849 0.438093445739781 0.50322055654709 0.337311794013699 0.194676124935301 0.0400468164380086 10900 -0.0235519668841995 0.00620224170681611 -0.0769701014703413 4.33081574574463e-05 NA NA NA NA
"100112_0.558" 2792 100112 3 0.558 FALSE 0.55840886203424 TRUE FALSE -0.000788983603627332 0.014458023452589 0.000846170631929022 NA NA 5.45265023941687 0.849248942769181 0.689897732423243 0.0186060384707622 0.49317680967173 0.387397435509414 0.44760650593233 0.349670850044599 0.207837321486638 -0.0421141745890281 10900 0.0246816132034743 -0.00549751903239494 0.0757386481284081 -0.00107522088559706 NA NA NA NA
"100148_0.5065" 2793 100148 3 0.5065 FALSE 0.506545820745216 TRUE FALSE 0.000100701890191286 -0.0106531586932563 -0.00468846793424663 NA NA 2.99591366536355 0.406430805595671 0.807560013666573 0.0206053314877987 0.499914304461543 0.479638975776496 0.548605954860532 0.570047136618788 0.480485559398139 0.0601391673951326 10900 -0.0366310025204087 0.000635806994970977 -0.0519900358741655 -0.0169828707964867 NA NA NA NA
"100167_0.293" 2794 100167 3 0.293 TRUE 0.292547834843907 TRUE FALSE -0.0022692281633355 -0.000948222608632876 -0.00843646424069443 NA NA 2.10549624265316 0.259004778020528 0.20439408067121 0.0155189963977556 0.413927198344098 0.238470239423605 0.282262992607571 0.342134632293861 0.390924095365567 0.00956046744428818 10900 -0.0113259452872279 -0.0165409387859944 -0.00153198309802776 -0.0351008121976907 NA NA NA NA
"100179_0.2145" 2795 100179 3 0.2145 FALSE 0.215005035246727 TRUE FALSE 0.002916380485501 -0.0110946657120763 0.00373563268186137 NA NA 5.28621277297739 0.81815775687935 0.584319547263018 0.0220375357101482 0.337555740130561 0.481319988989323 0.550439049806964 0.20652698908417 0.0946738050311128 0.0467965130836225 10900 -0.0322380036304643 0.0216640796258113 -0.0591592054321225 0.0187711777381045 NA NA NA NA
"100204_0.5045" 2796 100204 3 0.5045 FALSE 0.504531722054381 TRUE TRUE 8.72150658340313e-05 -0.0106407714066191 -0.0055299859989738 0.0321895332871192 0.0521470267791065 3.12569969852331 0.428701375808956 0.869958437858378 0.0273111583465404 0.499958926990444 0.853673737160192 0.951904591845244 0.690350704482403 0.608208862268935 0.0752722360512701 10900 -0.0457571569243472 0.000363722700841616 -0.0505488049173919 -0.0200061966429076 -0.0553516289457388 0.0892155507218464 -0.146454491605963 -0.00965002448554112
"100258_0.517" 2798 100258 3 0.517 TRUE 0.516616314199396 TRUE FALSE -0.00156803116707799 0.00991301292780793 0.00732007374777514 NA NA 3.41158644304056 0.478324100357307 1.15776933419649 0.0392026656060361 0.499447796204854 1.75769184186815 1.90698821253961 0.937413361862051 0.871408507602355 -0.0990316747793065 10900 0.0603922461251213 -0.0107982520840217 0.0455053332655614 0.0295995024744391 NA NA NA NA
"100280_0.517" 2801 100280 3 0.517 FALSE 0.516616314199396 TRUE FALSE -0.00156803116707799 0.00991301292780793 0.00732007374777514 NA NA 3.41158644304056 0.478324100357307 1.15776933419649 0.0392026656060361 0.499447796204854 1.75769184186815 1.90698821253961 0.937413361862051 0.871408507602355 -0.0990316747793065 10900 0.0603922461251213 -0.0107982520840217 0.0455053332655614 0.0295995024744391 NA NA NA NA
"100328_0.0195" 2803 100328 3 0.0195 FALSE 0.0196374622356495 TRUE FALSE NA NA NA NA NA NA NA 0.390448688939059 0.0173695302779852 0.0385036646251857 NA NA 0.230955950601669 0.207255466998231 -0.0628839472274575 10900 0.0361761642124503 0.0135391889645579 0.00476739642673074 -0.0494245328480354 NA NA NA NA
"100342_0.0105" 2804 100342 3 0.0105 FALSE 0.0105740181268882 TRUE FALSE NA NA NA NA NA NA NA 0.189962217060922 0.020317490139462 0.0209244165350806 NA NA 0.309691325681529 0.344300443850692 -0.0299601082119817 10900 0.0239362716066419 -0.0450197695850693 -0.00202850002970211 -0.0340289130995898 NA NA NA NA
"100376_0.276" 2805 100376 3 0.276 FALSE 0.274924471299094 TRUE FALSE 0.000375606951381206 0.00403011994332444 0.00190318314796105 NA NA 0.402698370660099 0.0270179310748132 0.0455003069726114 0.0161612035867181 0.398682012760015 0.271104018734521 0.318805038233166 0.0890977228724603 0.130185388419613 0.0396222003113285 10900 -0.0207787182735491 0.00322578918470652 0.0226900368710811 0.00898456602333088 NA NA NA NA
"100401_0.0195" 2806 100401 3 0.0195 FALSE 0.0196374622356495 TRUE FALSE NA NA NA NA NA NA NA 0.390448688939059 0.0173695302779852 0.0385036646251857 NA NA 0.230955950601669 0.207255466998231 -0.0628839472274575 10900 0.0361761642124503 0.0135391889645579 0.00476739642673074 -0.0494245328480354 NA NA NA NA
"100461_0.0285" 2807 100461 3 0.0285 FALSE 0.0287009063444109 TRUE FALSE NA NA NA NA NA NA NA 0.0348466857656203 0.0186781514519805 0.0557543286388402 NA NA 0.042032907603816 0.0400333140694395 -0.0276826910919555 10900 0.00810850821014263 0.0336478456195644 -0.016713796624114 -0.0422671323749277 NA NA NA NA
"100531_0.0205" 2808 100531 3 0.0205 FALSE 0.0206445115810675 TRUE TRUE NA NA NA NA NA NA NA 0.0510973058955672 0.00699999733883266 0.0404366314452931 NA NA 0.0749439590071098 0.0572629697732433 0.000176575803919337 10900 -0.00160423335972867 -0.0405355236170868 0.0220643270849049 0.00502484207025911 -0.00194061291475976 -0.0135875923349114 0.0463004670070697 -0.0288490307434132
"100541_0.031" 2809 100541 3 0.031 FALSE 0.0307150050352467 TRUE TRUE NA NA NA NA NA NA NA 0.187962586235044 -1.47595618320672e-05 0.0595431870018628 NA NA 0.0551135707257789 0.00478065129160007 -0.0290129196513008 10900 0.0198373711056292 0.0095320662973707 0.0364473921443692 0.0253799127916321 0.0239969193565313 -0.0266463599999494 -0.0288244504979483 -0.0188722901701222
"100544_0.234" 2810 100544 3 0.234 FALSE 0.233635448136959 TRUE TRUE 0.00345764306449053 0.00352055633393943 0.0064306741590564 -0.0118012171777292 0.03957893323962 1.71580968981009 0.198305020204365 0.253001433466249 0.0140662927850122 0.358099851021602 0.24156129782868 0.28573347809448 0.312447636606734 0.313613133855291 -0.0196746523978242 10900 0.0142115380021373 0.0279816655178312 0.0148260385533372 0.023378444817981 0.017191447876518 -0.0392034594219807 -0.111141033806462 0.0217069099282885
"100576_0.121" 2811 100576 3 0.121 FALSE 0.121852970795569 TRUE FALSE 0.00289339419838185 -0.00687011986904849 0.00118059092902704 NA NA 2.14180728577176 0.264799432440098 0.492020262826792 0.0165365528511935 0.214009648607726 0.316596289573177 0.369425588269305 0.312544450461131 0.255257808628002 0.0506883075832673 10900 -0.0281958171327941 0.0223103497481918 -0.0370345392669151 -0.000178584040660835 NA NA NA NA
"100584_0.011" 2812 100584 3 0.011 FALSE 0.0100704934541793 TRUE TRUE NA NA NA NA NA NA NA 0.382820045265571 0.00288534413942499 0.0199381572315369 NA NA 0.43420060088928 0.354889479712192 0.105656663002481 10900 -0.0651503489767618 0.000615530986511898 -0.0443402880832526 0.0196287789520761 -0.0788112327041954 0.0149571074965156 -0.0195714532055626 0.0324481588161183
"100710_0.2795" 2815 100710 3 0.2795 TRUE 0.279959718026183 TRUE FALSE -0.00336997035881282 0.00125681867852168 0.0101682067245627 NA NA 3.14304128799649 0.4316897404819 0.361170981394218 0.0244061523608724 0.403164548617766 0.648785893529424 0.731985975051392 0.243495892879035 0.26594592348177 -0.0137761426544266 10900 0.00508017907726971 -0.0261218865429583 0.00428852363261926 0.046883335119204 NA NA NA NA
"100780_0.2355" 2817 100780 3 0.2355 FALSE 0.235649546827795 TRUE FALSE -0.00361973302994876 -0.00105503501722149 0.0143501650032744 NA NA 5.65972189572246 0.888094163869934 0.527649109071736 0.0314538953330764 0.360237675815299 1.1282689053111 1.24408398379347 0.404404689208282 0.478383866441367 -0.0384879959601594 10900 0.0178040689408501 -0.0274778427739573 -0.00920825571314117 0.066869744914046 NA NA NA NA
"100812_0.282" 2820 100812 3 0.282 FALSE 0.281973816717019 TRUE TRUE -0.00294189007132148 0.000166567995633241 0.0108671383580846 -0.0254945421272107 -0.0472414277301202 3.28174172583462 0.455693839317961 0.685675702552445 0.0283059021115033 0.404929166806112 0.888250789190322 0.988836575412233 0.494308437468387 0.555777156248568 -0.0623274208698597 10900 0.0278772227073315 -0.0223101418395804 -0.00422616714053929 0.0480178159939489 0.0337225866083671 -0.0798760824666428 0.136969270998825 -0.0351934634145225
"100816_0.019" 2821 100816 3 0.019 FALSE 0.0191339375629406 TRUE FALSE NA NA NA NA NA NA NA 0.404566851431166 0.0150664546503961 0.0375356599925558 NA NA 0.242582072114702 0.213062573576379 -0.0629401310421875 10900 0.0360853819874906 0.0182025083146432 0.00871097113865348 -0.0448243697930866 NA NA NA NA
"100847_0.0995" 2823 100847 3 0.0995 FALSE 0.0991943605236657 TRUE FALSE 0.00179359305035446 0.00548259621950956 -0.00540710857937789 NA NA 1.84389172858701 0.217935706555497 0.391272899507517 0.0181789581287603 0.178709678727933 0.323731435334305 0.377335316259754 0.376204933573707 0.329574077338453 -0.0302716404299778 10900 0.00746001975590541 0.0147591681906151 0.0311619083962872 -0.0301720583120522 NA NA NA NA
"101006_0.0415" 2826 101006 3 0.0415 FALSE 0.0417925478348439 TRUE TRUE NA NA NA NA NA NA NA 0.0413320049470829 0.0167393368491679 0.0800918615606321 NA NA 0.122591583246578 0.179255305912549 0.045744495931851 10900 -0.0312283962456071 0.00352952519339808 -0.0097219745718469 0.0518646140806833 -0.0377764423697748 -0.0342949124318384 -0.129116045844726 0.0528985877421288
"101007_0.9585" 2827 101007 3 0.9585 FALSE 0.958207452165156 TRUE FALSE NA NA NA NA NA NA NA 0.0413320049470609 0.0167393368491677 0.0800918615606323 NA NA 0.122591583246577 0.179255305912549 -0.045744495931851 10900 0.0312283962456071 -0.00352952519339809 0.00972197457184692 -0.0518646140806833 NA NA NA NA
"101021_0.014" 2828 101021 3 0.014 FALSE 0.014098690835851 TRUE TRUE NA NA NA NA NA NA NA 0.493402327547809 0.00596604994671733 0.0277998355051319 NA NA 0.491256100289818 0.581778660361909 0.000657901105617438 10900 0.00312766872132847 -0.01014603422362 0.0127047145012816 -0.0212638288779161 0.00378348591050791 0.0857368974275358 -0.025644717086484 -0.00909411447552188
"101051_0.2855" 2830 101051 3 0.2855 FALSE 0.286002014098691 TRUE FALSE 0.00801256227204646 0.00124196078777511 -0.0166047017671804 NA NA 10.6538443666586 1.86160926331119 0.581757829270268 0.0264436330402326 0.408409724060366 0.831260652889569 0.927939917792577 0.513607178276922 0.489528232278042 -0.0591279884601395 10900 0.0310660077260204 0.0619684378997688 0.00482383205145032 -0.0757252974907378 NA NA NA NA
"101093_0.1005" 2831 101093 3 0.1005 FALSE 0.100704934541793 TRUE TRUE -0.00197563832744893 -0.00963604150934319 0.00251324096441256 0.0278174029579986 -0.0117043022530438 2.83486052637208 0.379038468250637 0.773820906489697 0.020180315416154 0.181126901401451 0.459453378149265 0.526574604280446 0.786526773222967 0.702942955423301 0.0733560430256189 10900 -0.0429181248050784 -0.0173676050495888 -0.0466377928197817 0.0164217960446662 -0.0519173016624547 0.0705226690687784 0.0266575823656166 0.00568114122991958
"101155_0.069" 2833 101155 3 0.069 TRUE 0.0684793554884189 TRUE TRUE 0.00154893073315738 0.00184355688520788 -0.00385940166320851 0.000908820263387801 0.00669899310553085 0.620008921025241 0.0497145636396565 0.01334587609663 0.012104257813649 0.127579866720619 0.133676006351343 0.163103518588239 0.0218316571381051 0.00487724804575265 -0.0393174292266186 10900 0.0158715862574779 0.0123574031599363 0.00681426966924252 -0.0243913538536181 0.0191995790900363 0.0219616743151492 -0.0099339333571495 0.00540361842488832
"101213_0.056" 2835 101213 3 0.056 FALSE 0.0563947633434038 TRUE TRUE 0.00210477659519768 -0.00223142687711173 -0.00404070290436143 0.0191788695849576 0.0112903620272359 0.77900855153005 0.0682975700350515 0.474204628071639 0.00115533980154661 0.106428788021691 0.00797024597611708 0.0113254580712336 0.464973896739266 0.491151205874279 0.0495121888846758 10900 -0.0276708637343725 0.0143757758370427 -0.011325993748545 -0.0226122443438637 -0.0334729577837498 0.0633539779589289 -0.0239925870322871 -0.0345504966711157
"101225_0.0125" 2836 101225 3 0.0125 FALSE 0.0125881168177241 TRUE TRUE NA NA NA NA NA NA NA 0.0570593913307683 0.0201769236711296 0.0248593122654146 NA NA 0.201321584057185 0.182066988912701 -0.0415516971831159 10900 0.0109388914693506 0.0318766789281684 0.0101704495811367 -0.072310153381519 0.0132325848542182 0.0018909286138618 -0.0494884298363108 -0.0377460923308813
"101253_0.0455" 2837 101253 3 0.0455 FALSE 0.0453172205438066 TRUE FALSE NA NA NA NA NA NA NA 0.732247520706981 0.0181802745249711 0.0865271401319809 NA NA 0.656128241229772 0.515726401790462 0.119167370622617 10900 -0.0738953676126131 -0.00564797272005735 -0.0598197717361253 0.0303174107425836 NA NA NA NA
"101305_0.041" 2840 101305 3 0.041 FALSE 0.040785498489426 TRUE TRUE NA NA NA NA NA NA NA 1.03456038677849 0.00376646495757569 0.0782440832047899 NA NA 1.06549453527006 0.998775677301949 -0.0570582024043607 10900 0.0340711594876822 -0.00612467707495376 0.0497991888027576 -0.0218721098535376 0.0412152831267757 -0.114199274505747 -0.0148488095075135 -0.0307981172600425
"101346_0.0875" 2841 101346 3 0.0875 FALSE 0.0871097683786506 TRUE FALSE -0.00102428512398994 -0.00317050495214915 5.5759439288748e-05 NA NA 0.332856567490344 0.0205722312342179 0.0524610756306729 0.0144237189232013 0.159043313263337 0.208168349042969 0.248127304458379 0.0917015772604909 0.135116863882875 0.0549971200542234 10900 -0.0350424061082496 -0.00946196127143867 -0.0112538848614006 0.00614153324023361 NA NA NA NA
