vcf_ord pos chrom a_freq_old muttype unique for_relatedness a_freq_final keep_loci simID quasi_indep Hscan_v1.3_H12 pca_ALL_PC1_loadings pca_ALL_PC2_loadings pca_ALL_PC3_loadings pca_PRUNED_PC1_loadings pca_PRUNED_PC2_loadings pcadapt_3.0.4_ALL_chisq pcadapt_3.0.4_ALL_log10p pcadapt_3.0.4_PRUNED_log10p OutFLANK_0.2_FST OutFLANK_0.2_He OutFLANK_0.2_ALL_log10p OutFLANK_0.2_PRUNED_log10p LFMM_ridge_0.0_ALL_log10p LFMM_lasso_0.0_ALL_log10p CHR rehh_2.0.2_ALL_iHS rehh_2.0.2_ALL_log10p Spearmans_ALL_rho selCoef originGen freq_old freq_final pa2 prop He tajD pi thetaW
3 133 1 0.134 MT=1 10951_133_MT=1_3 FALSE 0.134848484848485 TRUE 10951 TRUE NA 0.325918618154073 0.461138402686947 -0.57898686792217 0.611428711281026 0.52968343311539 2.65017877236677 0.347985483007515 0.217830231811817 0.0108117460215343 0.233328741965106 0.188891345863018 0.190473032927466 0.0365514658888588 0.131291518132573 1 NA NA -0.0467045536890211 NA NA NA NA NA NA NA 0.9499170627026889 0.003008837292468111 0.0019549981725819057
6 264 1 0.019 MT=1 10951_264_MT=1_6 FALSE 0.0191919191919192 TRUE 10951 TRUE NA 0 0 0 0 0 NA NA 0.172738819367508 0.0128731538865235 0.0376471788593 NA NA 0.759040551391422 0.793778701698689 NA NA NA 0.0271225203579202 NA NA NA NA NA NA NA 0.8930570383361505 0.0025959531673803685 0.0017434902611099313
7 267 1 0.192 MT=1 10951_267_MT=1_7 TRUE 0.190909090909091 TRUE 10951 FALSE NA -0.427810427474469 0.40721100125424 0.0993573267680532 NA NA 2.86330064445177 0.383855210461023 0.175015125878034 0.00857830299631235 0.308925619834711 0.102650451818702 0.103280294080451 0.00877483721321257 0.00375952605618787 1 NA NA -0.0104808873745283 NA NA NA NA NA NA NA 0.8930570383361505 0.002583688821707705 0.0017352532992464197
8 339 1 0.0725 MT=1 10951_339_MT=1_8 FALSE 0.0727272727272727 TRUE 10951 TRUE NA 0.52254726528009 0.273281512212096 0.387339118054651 0.715416158600134 3.48530289119751 2.918023700012 0.393148299377204 0.251312774618315 0.00768790055481498 0.134876033057851 0.117563392762328 0.118348321979458 0.255714162233189 0.241233087431002 1 NA NA -0.0330209800940995 NA NA NA NA NA NA NA 0.6772869783975652 0.0023544598017153913 0.0017317080701264756
10 411 1 0.088 MT=1 10951_411_MT=1_10 FALSE 0.0883838383838384 TRUE 10951 TRUE NA -0.173768138548023 -0.23061128232876 0.150858674240275 -0.84790879409594 0.132728056706434 0.44131798237926 0.0307794129550893 0.264296617815271 0.0122877630983112 0.161144270992756 0.250824850528947 0.25314268410826 0.177737687685673 0.161117281128446 1 NA NA -0.00165988273297875 NA NA NA NA NA NA NA 0.6527282922236082 0.0023122881279222475 0.0017288181850287038
11 416 1 0.2245 MT=1 10951_416_MT=1_11 FALSE 0.223737373737374 TRUE 10951 TRUE NA -0.494382374926482 0.319127470206052 0.146857953329439 -0.460151200613215 0.35522935757069 3.02099465882808 0.41072130870692 0.185236090328864 0.000778054917921676 0.347357922660953 0.0135104348540313 0.0134503563184304 0.0497186724411497 0.0853536338668972 1 NA NA 0.00919520798584294 NA NA NA NA NA NA NA 0.6527282922236082 0.0022975413924125393 0.0017177925588486736
13 495 1 0.0325 MT=1 10951_495_MT=1_13 FALSE 0.0328282828282828 TRUE 10951 TRUE NA 0 0 0 0 0 NA NA 0.141478505301744 0.0443753878503024 0.0635011733496582 NA NA 0.0448450911009421 0.0802164318324406 NA NA NA 0.0265085861940382 NA NA NA NA NA NA NA 0.6527282922236082 0.0020872218443237904 0.0015605438773318193
14 557 1 0.125 MT=1 10951_557_MT=1_14 FALSE 0.125757575757576 TRUE 10951 FALSE NA 0.309793551941216 0.209877875886774 -0.607881055460244 NA NA 2.33123709535874 0.295366418372176 0.0937945366451333 0.00954476261389993 0.219885215794307 0.140590424872595 0.141624121006035 0.194509853160545 0.30555968964142 1 NA NA -0.0155025517747079 NA NA NA NA NA NA NA 0.6527282922236082 0.0017994729786727582 0.001345403962175185
15 662 1 0.0715 MT=1 10951_662_MT=1_15 TRUE 0.0717171717171717 TRUE 10951 FALSE NA 0.454045742479515 0.245347554615059 0.370997029824475 NA NA 2.32936348938925 0.295061436362358 0.17607149731813 0.00857576215922689 0.133147637996123 0.14047239637095 0.141504793005231 0.227305955273776 0.220044363409877 1 NA NA -0.0197262961816552 NA NA NA NA NA NA NA 0.5284154159997935 0.001566259547792921 0.0012230945110683498
19 792 1 0.012 MT=1 10951_792_MT=1_19 FALSE 0.0121212121212121 TRUE 10951 TRUE NA 0 0 0 0 0 NA NA 0.668424910277132 0.0185074196764934 0.0239485766758494 NA NA 0.758703807748012 0.787104703116503 NA NA NA -0.0381248243921719 NA NA NA NA NA NA NA 1.4210425737575068 0.0021459520058445137 0.0012230945110683498
21 859 1 0.0735 MT=1 10951_859_MT=1_21 FALSE 0.0737373737373737 TRUE 10951 FALSE NA -0.152665245577679 -0.0848915821442738 0.216548877670305 NA NA 0.398650013059005 0.0266313972301377 0.0956025294250865 0.0138043150215804 0.136600346903377 0.284727299702126 0.28745856786339 0.0914068308050389 0.0684194364675593 1 NA NA 0.0350562635038661 NA NA NA NA NA NA NA 2.105091814146454 0.0028098065031318745 0.001345403962175185
29 1220 1 0.484 MT=1 10951_1220_MT=1_29 FALSE 0.483333333333333 TRUE 10951 TRUE 2219.41 0.0917695603564346 0.255253185641145 0.252571072250623 -0.377333990953037 0.707856858352222 0.759023286204579 0.0658850713252207 0.0765734970548632 0.0106455090734953 0.499444444444444 0.134160883011717 0.13512413126616 0.0149716695760868 0.0297540318376107 1 NA NA 0.0221599588348865 NA NA NA NA NA NA NA 2.18168442195837 0.00286308798413167 0.001345403962175185
32 1286 1 0.3075 MT=1 10951_1286_MT=1_32 FALSE 0.309090909090909 TRUE 10951 TRUE 1528.09 0.0363944821930174 0.293645502125563 -0.552319116043299 0.70474951453404 -0.207360663858306 1.56984121564611 0.176364545854782 0.213141694855746 0.0178286505253333 0.427107438016529 0.474833672337114 0.479956596384461 0.0924253808735499 0.0411114859121212 1 NA NA -0.00624206446901019 NA NA NA NA NA NA NA 2.18168442195837 0.00286308798413167 0.001345403962175185
33 1308 1 0.246 MT=1 10951_1308_MT=1_33 TRUE 0.246969696969697 TRUE 10951 FALSE 1289.81 0.0130336115910353 -0.0561422163576696 -0.44698905669497 NA NA 0.930986076278243 0.0872761944206366 0.0200043485524947 0.0146644691896259 0.371951331496786 0.306370376629471 0.309368434296714 0.147145727607838 0.197896161264808 1 NA NA 0.00727293111082123 NA NA NA NA NA NA NA 2.625013964372848 0.003171489215864245 0.001345403962175185
34 1330 1 0.3095 MT=1 10951_1330_MT=1_34 TRUE 0.309090909090909 TRUE 10951 FALSE 1637.13 -0.055848528796941 -0.360063352286278 -0.0842310241864609 NA NA 0.587940797867787 0.0461497788303415 0.0613269107335688 0.0169402985985427 0.427107438016529 0.421610163190903 0.426054820699343 0.0830092936681604 0.0851856902435082 1 NA NA -0.0334598322017485 NA NA NA NA NA NA NA 2.625013964372848 0.003171489215864245 0.001345403962175185
35 1368 1 0.2485 MT=1 10951_1368_MT=1_35 FALSE 0.248484848484848 TRUE 10951 FALSE 1622.94 0.0162151344572429 -0.0715879725810745 -0.424935418495501 NA NA 0.856447940723502 0.0778336617138846 0.00983954196981974 0.0133947577274515 0.373480257116621 0.258682854501166 0.26109597105105 0.157642935006387 0.210124894197128 1 NA NA 0.00617900142724487 NA NA NA NA NA NA NA 2.9056448697537367 0.0033667094946896506 0.001345403962175185
36 1388 1 0.036 MT=1 10951_1388_MT=1_36 FALSE 0.0363636363636364 TRUE 10951 FALSE 1594.49 0 0 0 NA NA NA NA 0.204080289772349 0.0205406054231283 0.0700826446280991 NA NA 0.425578709344013 0.498847408781829 NA NA NA 0.036378398906692 NA NA NA NA NA NA NA 2.9056448697537367 0.0033667094946896506 0.001345403962175185
37 1433 1 0.0515 MT=1 10951_1433_MT=1_37 TRUE 0.052020202020202 TRUE 10951 TRUE 1680.08 0.0488152293998308 0.458153375011224 0.205456750099536 0.368261854285791 -0.044988876164189 1.27640959558798 0.13386494039725 0.0953331454097751 0.0279369576616653 0.0986282012039588 NA NA 0.0602482033647858 0.0962663524305405 1 NA NA -0.00656790860262623 NA NA NA NA NA NA NA 2.9056448697537367 0.0033667094946896506 0.001345403962175185
39 1515 1 0.281 MT=1 10951_1515_MT=1_39 FALSE 0.281313131313131 TRUE 10951 FALSE 2084.47 -0.140779296517149 -0.344616809869852 -0.676550498409784 NA NA 2.9361105987362 0.396226927777488 0.241838128373807 0.0152188190363788 0.404352106927864 0.320150223974878 0.323319128295865 0.661490952619422 0.775660230723672 1 NA NA 0.0284128112864779 NA NA NA NA NA NA NA 2.9056448697537367 0.0033667094946896506 0.001345403962175185
40 1537 1 0.016 MT=1 10951_1537_MT=1_40 FALSE 0.0161616161616162 TRUE 10951 TRUE 1933.74 0 0 0 0 0 NA NA 0.222817404352446 -0.00029334168542174 0.0318008366493214 NA NA 0.155272312685262 0.219391773555783 NA NA NA -0.00335743171083162 NA NA NA NA NA NA NA 2.9056448697537367 0.0033667094946896506 0.001345403962175185
44 1807 1 0.212 MT=1 10951_1807_MT=1_44 FALSE 0.210606060606061 TRUE 10951 TRUE 2101.26 0.0604321564936286 0.166152067666345 0.65997825574115 -0.704549500059714 1.97242764970627 2.37920102586769 0.303191125043644 0.19488388392706 0.0174519647642619 0.332502295684114 0.415519976804287 0.419887348157842 0.0645474147650167 0.0218839011938334 1 NA NA 0.0382647084139014 NA NA NA NA NA NA NA 2.6930205564423018 0.0037091190106946456 0.001590022864388855
45 1851 1 0.2115 MT=1 10951_1851_MT=1_45 FALSE 0.21010101010101 TRUE 10951 FALSE 1918.56 0.0742421790553609 0.182858617416882 0.661106925542628 NA NA 2.43081956346801 0.311648391920542 0.204670542667272 0.0175303781291527 0.331917151311091 0.42047865721537 0.424908950020822 0.082145632129168 0.0409171395791921 1 NA NA 0.0407488854283679 NA NA NA NA NA NA NA 2.2497751286275385 0.0029104551360971042 0.001345403962175185
49 2079 1 0.158 MT=1 10951_2079_MT=1_49 FALSE 0.158585858585859 TRUE 10951 FALSE 1923.06 -0.266404993956848 -0.368462669211768 -0.362087913756761 NA NA 1.74431777371147 0.202644985774319 0.0406308950623938 0.00346826950642001 0.266872768084889 0.0269351666593988 0.0269248504051321 0.0144323664817618 0.0170846019832695 1 NA NA -0.0165505603122171 NA NA NA NA NA NA NA 2.374944712950187 0.0025320920676701834 0.001100785059961515
50 2092 1 0.039 MT=1 10951_2092_MT=1_50 FALSE 0.0393939393939394 TRUE 10951 FALSE 1683.08 0 0 0 NA NA NA NA 0.325001761442529 0.0181722263170406 0.0756841138659321 NA NA 0.140582024655929 0.0611611611317247 NA NA NA 0.0710122076512372 NA NA NA NA NA NA NA 2.374944712950187 0.0025320920676701834 0.001100785059961515
51 2093 1 0.3525 MT=1 10951_2093_MT=1_51 FALSE 0.352020202020202 TRUE 10951 FALSE 1849.39 -0.0655951022229024 -0.00576661847273213 0.352749004985362 NA NA 0.647342758172003 0.0528046497196678 0.00162646922106993 0.0245893990799316 0.456203958779716 0.824541973477467 0.834189756484505 0.144230943062442 0.196768150982556 1 NA NA 0.0187486967599827 NA NA NA NA NA NA NA 2.374944712950187 0.0025320920676701834 0.001100785059961515
56 2262 1 0.624 MT=1 10951_2262_MT=1_56 FALSE 0.621717171717172 TRUE 10951 FALSE 1975.3 -0.000429956582287895 0.689760507888167 0.176309503710971 NA NA 2.60706404715149 0.340794767744363 0.0463938040898198 0.0110621765314425 0.470369860218345 0.160932766972514 0.162193600312041 0.0950306440321588 0.122518131589732 1 NA NA 0.0587196472715163 NA NA NA NA NA NA NA 2.8615722790930094 0.0035894072597641895 0.00146771341328202
59 2359 1 0.031 MT=1 10951_2359_MT=1_59 FALSE 0.0313131313131313 TRUE 10951 TRUE 1607.97 0 0 0 0 0 NA NA 0.0380817490815578 0.0213930960600888 0.0606652382409958 NA NA 0.104910862234082 0.15177080583622 NA NA NA -0.0161412320738424 NA NA NA NA NA NA NA 2.365085507123333 0.0029906705500439713 0.001345403962175185
60 2371 1 0.021 MT=1 10951_2371_MT=1_60 FALSE 0.0202020202020202 TRUE 10951 TRUE 1591.09 0 0 0 0 0 NA NA 0.437345087482377 0.0212973643331328 0.0395877971635548 NA NA 2.21264151557714 2.54385201021469 NA NA NA 0.083709769794228 NA NA NA NA NA NA NA 2.365085507123333 0.0029906705500439713 0.001345403962175185
63 2509 1 0.514 MT=1 10951_2509_MT=1_63 FALSE 0.515151515151515 TRUE 10951 TRUE 1937.43 -0.0250586333660028 -0.692658652166633 0.535976525662155 -0.695173588138337 1.4460069700165 3.21639698749634 0.444362545143226 0.136776294059347 0.00948168008113422 0.499540863177227 0.119334332872302 0.1201380230265 0.167015801743082 0.285951406634687 1 1.13137970523734 0.588556556222719 0.0227208001691353 NA NA NA NA NA NA NA 1.919791821764143 0.0033096552642696243 0.0017123323154956901
66 2625 1 0.0385 MT=1 10951_2625_MT=1_66 FALSE 0.0383838383838384 TRUE 10951 FALSE 1569.29 0 0 0 NA NA NA NA 0.35032422923283 0.00769680889724052 0.0738210386695235 NA NA 0.205376844094237 0.163021845002338 NA NA NA 0.0441413562124251 NA NA NA NA NA NA NA 1.4673477631109269 0.0027446560819706116 0.001590022864388855
67 2630 1 0.4225 MT=1 10951_2630_MT=1_67 FALSE 0.422727272727273 TRUE 10951 FALSE 1558.85 -0.146762188044643 -0.418859332914225 0.756921453778342 NA NA 3.43068300430614 0.481664808981466 0.207291050713759 0.00220962430584571 0.488057851239669 0.0145191237599586 0.0144609812796281 0.0120525035022981 0.0947814738013378 1 NA NA 0.0248799344405514 NA NA NA NA NA NA NA 1.4673477631109269 0.0027446560819706116 0.001590022864388855
68 2709 1 0.455 MT=1 10951_2709_MT=1_68 FALSE 0.455050505050505 TRUE 10951 FALSE 1878.59 -0.329902751284024 -0.344623643447403 0.906451014329507 NA NA 5.13760106939203 0.790500559421472 0.449424945367897 0.00341482771385409 0.495959085807571 0.0197814970244341 0.0197389405400847 0.0653885847232406 0.0252788501767951 1 1.07032228344522 0.545957012116711 0.0677055935608142 NA NA NA NA NA NA NA 1.5462082792878624 0.002998822829775101 0.0017123323154956901
69 2777 1 0.0345 MT=1 10951_2777_MT=1_69 FALSE 0.0338383838383838 TRUE 10951 FALSE 1804.07 0 0 0 NA NA NA NA 0.0358194295329358 0.0181915690597615 0.0653866952351803 NA NA 0.0304958055841748 0.0276980326576723 NA NA NA 0.0496342390777839 NA NA NA NA NA NA NA 1.1928847963894686 0.0025286854263839886 0.001590022864388855
73 2905 1 0.042 MT=1 10951_2905_MT=1_73 FALSE 0.0424242424242424 TRUE 10951 FALSE 1798.42 0 0 0 NA NA NA NA 0.123970744952693 0.00436485998603136 0.0812488521579431 NA NA 0.184367161371084 0.234265166617214 NA NA NA -0.0356805718812189 NA NA NA NA NA NA NA 1.8009885366647227 0.003007192836767002 0.001590022864388855
74 2913 1 0.106 MT=1 10951_2913_MT=1_74 TRUE 0.106060606060606 TRUE 10951 FALSE 1897.34 -0.500773535580238 -0.263012833708429 0.260175484937803 NA NA 2.21043689538885 0.275809723445064 0.127959753331827 0.0130539622004793 0.189623507805326 0.269659156820051 0.272205937237345 0.0307080702685741 0.00510521183934868 1 NA NA 0.0404085718710656 NA NA NA NA NA NA NA 1.8009885366647227 0.003007192836767002 0.001590022864388855
75 2917 1 0.0245 MT=1 10951_2917_MT=1_75 FALSE 0.0247474747474747 TRUE 10951 FALSE 1788.52 0 0 0 NA NA NA NA 0.116954577272451 0.00534260208533768 0.0482700744821958 NA NA 0.0646134757368155 0.051246975829387 NA NA NA 0.0257873382528682 NA NA NA NA NA NA NA 1.8009885366647227 0.003007192836767002 0.001590022864388855
79 3112 1 0.011 MT=1 10951_3112_MT=1_79 FALSE 0.0111111111111111 TRUE 10951 FALSE 1766.78 0 0 0 NA NA NA NA 0.360104304702182 0.0180859417608146 0.0219753086419752 NA NA 0.362837884731207 0.325743956392489 NA NA NA -0.0431837490793477 NA NA NA NA NA NA NA 3.0686398320112502 0.005302232437149062 0.00220157011992303
80 3123 1 0.121 MT=1 10951_3123_MT=1_80 TRUE 0.12020202020202 TRUE 10951 TRUE 1869.96 0.308668640195614 0.275019269203847 -1.0599141320441 0.0160937890076394 -0.0140314057459348 6.08666525557042 0.968716533908966 0.00578836787684322 0.0108859195504433 0.211506989082747 0.146888309340936 0.147991669202936 0.121410918014415 0.256097946390914 1 NA NA -0.00634260793526342 NA NA NA NA NA NA NA 3.0686398320112502 0.005302232437149062 0.00220157011992303
81 3139 1 0.149 MT=1 10951_3139_MT=1_81 FALSE 0.149494949494949 TRUE 10951 TRUE 1837.85 0.665302733558942 -0.022736396509582 0.702960729867915 -0.930045305469075 1.79413997200577 5.62838795662775 0.882204873707872 0.285828847401647 0.0159647639507484 0.254292419140904 0.419037855399026 0.423449860586979 0.280284006897577 0.27433578024815 1 NA NA 0.0181958303633034 NA NA NA NA NA NA NA 3.02047442412072 0.004740631227837806 0.00195695121770936
85 3324 1 0.053 MT=1 10951_3324_MT=1_85 FALSE 0.053030303030303 TRUE 10951 TRUE 1538.56 -0.396854061884283 -0.237224060522351 0.430741941682611 -1.6612913085067 -0.284466580102166 2.08924465080776 0.256418350240555 0.863386577991337 0.00819913248203056 0.100436179981634 0.105268147493227 0.105924812216602 0.873225024769419 0.802203827616635 1 NA NA 0.10864417294152 NA NA NA NA NA NA NA 2.7961320118369564 0.0047806022816358614 0.002079260668816195
