position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX
114	0.13126398	0.13138504	40.10619131	0.13007726	0.13015657	38.25363566
122	0.13078619	0.13080907	34.19093433	0.13224454	0.13226294	33.69088998
203	0.13415172	0.13419360	37.30243317	0.12317727	0.12319965	35.36373546
219	0.15345602	0.15354863	32.40280312	0.14545421	0.14556278	32.65792101
229	0.15583482	0.15595022	33.64597883	0.14977639	0.14978163	34.24866440
248	0.12415088	0.12417613	41.44342091	0.11657453	0.11666133	40.82862221
383	0.13177764	0.13190388	37.32725977	0.13305643	0.13313433	37.83605795
411	0.12802644	0.12814270	39.96733074	0.12360642	0.12364042	38.42866784
590	0.13314929	0.13322095	34.53447975	0.13410771	0.13421017	33.72076240
610	0.14158600	0.14160702	33.44141907	0.13076410	0.13081688	33.22478650
676	0.12955539	0.12958881	38.90646406	0.13871236	0.13871779	37.72936503
980	0.13182359	0.13184590	41.90186879	0.11489387	0.11495413	41.60131960
1223	0.12743277	0.12751485	37.56865157	0.12613621	0.12616434	37.85875016
1268	0.13181541	0.13186087	39.98947302	0.12862707	0.12868191	40.67950753
1383	0.13321025	0.13320041	36.91110960	0.12729363	0.12736028	37.38211545
1389	0.14502971	0.14500164	36.05745860	0.12654914	0.12664185	35.83204254
1488	0.13751519	0.13754462	42.29167929	0.11633867	0.11640101	41.95778314
1715	0.13331917	0.13333265	35.37060394	0.13428803	0.13433360	33.98994281
1732	0.13110897	0.13115040	42.54055493	0.13053720	0.13065009	42.07740468
1750	0.12705074	0.12712056	36.01213042	0.12326836	0.12335931	36.76506777
1800	0.12396726	0.12397373	35.60498295	0.12721443	0.12732053	34.49713634
1816	0.14427037	0.14435657	32.47072591	0.13790189	0.13794704	33.83710101
1824	0.14374401	0.14372824	36.85859810	0.13491572	0.13498124	36.37039035
1831	0.13342671	0.13346247	44.09002644	0.12271666	0.12277217	42.92941527
1882	0.12969973	0.12978522	36.62225108	0.12847781	0.12861045	36.90640920
1895	0.14181618	0.14184688	36.78359756	0.13262640	0.13265910	36.23812556
1922	0.13200777	0.13213678	41.87967136	0.12143286	0.12147308	40.83527967
2045	0.12511059	0.12511888	35.75837999	0.12708152	0.12716577	34.91873621
2060	0.13177811	0.13179111	36.29527805	0.13306917	0.13311435	35.39933475
2101	0.13920559	0.13923895	38.68874176	0.14339387	0.14347332	38.71919675
2141	0.12000329	0.12000959	39.40115202	0.11565378	0.11573858	38.04592114
2421	0.12616357	0.12629359	39.93419647	0.12649895	0.12660493	39.06814787
2472	0.12364301	0.12369221	36.81097099	0.13284033	0.13283360	35.34397250
2610	0.12824282	0.12822914	43.85558707	0.10888017	0.10889247	44.47795533
2730	0.11231184	0.11234897	43.27840747	0.10671362	0.10672841	41.97998819
2937	0.13246674	0.13249335	38.45083337	0.12352640	0.12357786	37.85693582
3134	0.12759457	0.12765075	37.72847594	0.13039365	0.13042312	36.80379313
3158	0.14197533	0.14206513	35.12093513	0.12580988	0.12583477	34.63409353
3278	0.13484349	0.13490873	34.61478165	0.12425679	0.12438745	34.77662425
3332	0.14428328	0.14431306	34.32741218	0.13547904	0.13554188	34.16387515
3369	0.12461060	0.12464722	46.11382874	0.11002481	0.11010820	47.17740817
3598	0.12632676	0.12638684	42.93520374	0.12511956	0.12514202	41.26163202
3631	0.12552359	0.12565772	38.74375587	0.12298902	0.12306313	35.86581331
3692	0.12850131	0.12858492	39.61424917	0.12541427	0.12550934	38.88793990
3737	0.13837825	0.13841072	38.25852146	0.12750557	0.12753772	38.22253564
3743	0.14309031	0.14311468	35.98998506	0.13768318	0.13763520	36.30715937
3747	0.12593884	0.12596232	39.83867553	0.11763610	0.11775151	39.50385768
3799	0.12708713	0.12712942	38.26625782	0.12243408	0.12250661	37.39005305
3830	0.14048945	0.14062907	36.77197906	0.13272264	0.13279697	37.24781958
3860	0.12308058	0.12317181	41.43918791	0.12789960	0.12797916	40.90353780
3909	0.14036637	0.14041144	40.33646560	0.12252242	0.12263807	39.29053434
3964	0.12846159	0.12857056	35.55556161	0.13496050	0.13502363	35.41342098
3994	0.14540251	0.14548416	37.41075516	0.13321803	0.13337938	36.98969888
3995	0.12384332	0.12391691	40.20448127	0.12458320	0.12461837	40.86420583
4020	0.13911055	0.13918133	39.84929606	0.11988755	0.12000976	40.59979480
4052	0.13749834	0.13756544	35.88738506	0.13208868	0.13214205	35.95218949
4274	0.12880437	0.12890198	41.57553206	0.13152593	0.13168740	42.12114705
4334	0.13099704	0.13109480	37.75794854	0.12528498	0.12537401	38.30208217
4413	0.13875724	0.13883262	37.24076972	0.13106230	0.13112235	37.30010197
